gen,attempt,train_anchor_mean,holdout_mean,best_so_far,verdict,accepted,mm_evals,chain_extras_len
0,1,46.789429,42.873938,47.161467,NO_PROGRESS,0,184,1
0,2,47.455078,39.575112,47.161467,NO_PROGRESS,1,176,1
0,3,47.703369,47.161467,47.161467,NO_PROGRESS,1,176,1
0,4,47.650352,47.161467,47.161467,NO_PROGRESS,0,176,1
0,5,47.702759,13.599531,47.161467,NO_PROGRESS,3,184,1
0,6,47.730835,7.935767,47.161467,NO_PROGRESS,0,188,1
0,0,47.703369,47.161467,47.161467,SOFT_HALT(retries_exhausted_but_continuing),1,176,1
1,1,47.650352,47.161467,47.161467,NO_PROGRESS,1,172,1
1,2,47.017412,39.575112,47.161467,NO_PROGRESS,0,168,1
1,3,47.698179,47.161467,47.161467,NO_PROGRESS,1,180,1
1,4,47.698486,47.161467,47.161467,NO_PROGRESS,2,180,1
1,5,47.711914,47.161467,47.161467,NO_PROGRESS,0,168,1
1,6,47.236694,39.575112,47.161467,NO_PROGRESS,0,176,1
1,0,47.650352,47.161467,47.161467,SOFT_HALT(retries_exhausted_but_continuing),1,172,1
2,1,47.586792,47.161467,47.161467,NO_PROGRESS,0,160,1
2,2,47.031250,40.704072,47.161467,NO_PROGRESS,1,168,1
2,3,47.698276,47.161467,47.161467,NO_PROGRESS,4,188,1
2,4,46.986855,36.623967,47.161467,NO_PROGRESS,1,184,1
2,5,46.847612,42.873938,47.161467,NO_PROGRESS,0,164,1
2,6,47.400659,-1341.980242,47.161467,NO_PROGRESS,0,168,1
2,0,47.586792,47.161467,47.161467,SOFT_HALT(retries_exhausted_but_continuing),0,160,1
