gen,train_anchor_mean,holdout_mean,prev_holdout,verdict,accepted,mm_evals,chain_extras_len
0,23.805771,-19.668386,0.000000,ADVANCE,0,188,0
1,47.577788,-19.668386,-19.668386,ADVANCE(tie),1,196,1
2,47.439160,-19.668386,-19.668386,ADVANCE(tie),2,204,2
3,40.625347,-19.668386,-19.668386,ADVANCE(tie),1,192,3
