outer_iter,mode,seed,sa_steps,max_prog_len,local_best_iter,local_avalanche,local_balance,local_period,local_chisq,local_composite,best_avalanche,best_balance,best_period,best_chisq,best_composite,best_len,best_hash,accepted,evaluated,elapsed_ms
26,mul_free,0x85B49F02DE582F3E,100000,24,32080,31.989746,31.812500,4096,285.125000,44.158711,32.000000,32.125000,4096,219.750000,46.375000,6,0x2FF67A1870E18E0,521137,2700028,784573
27,mul_free,0x85B49F02DE582F3E,100000,24,83210,32.001465,32.042969,4096,243.000000,46.270508,32.000000,32.125000,4096,219.750000,46.375000,6,0x2FF67A1870E18E0,542488,2800029,810006
28,mul_free,0x85B49F02DE582F3E,100000,24,79485,32.026367,31.996094,4096,254.625000,45.216797,32.000000,32.125000,4096,219.750000,46.375000,6,0x2FF67A1870E18E0,561369,2900030,839029
29,mul_free,0x85B49F02DE582F3E,100000,24,37642,32.016846,32.007813,4096,260.750000,45.234980,32.000000,32.125000,4096,219.750000,46.375000,6,0x2FF67A1870E18E0,579618,3000031,867693
30,mul_free,0x85B49F02DE582F3E,100000,24,64898,31.997314,31.984375,4096,254.250000,44.895020,32.000000,32.125000,4096,219.750000,46.375000,6,0x2FF67A1870E18E0,596753,3100032,896923
31,mul_free,0x85B49F02DE582F3E,100000,24,79537,31.997803,31.992188,4096,258.000000,44.908965,32.000000,32.125000,4096,219.750000,46.375000,6,0x2FF67A1870E18E0,613246,3200033,927504
32,mul_free,0x85B49F02DE582F3E,100000,24,42956,32.012939,32.082031,4096,217.375000,45.460449,32.000000,32.125000,4096,219.750000,46.375000,6,0x2FF67A1870E18E0,632815,3300034,954143
33,mul_free,0x85B49F02DE582F3E,100000,24,77003,32.009033,32.011719,4096,257.625000,44.824824,32.000000,32.125000,4096,219.750000,46.375000,6,0x2FF67A1870E18E0,653366,3400035,984153
34,mul_free,0x85B49F02DE582F3E,100000,24,43764,32.015625,32.070313,4096,223.875000,46.492188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,676986,3500036,1006233
35,mul_free,0x85B49F02DE582F3E,100000,24,93747,31.989746,32.000000,4096,237.875000,44.897461,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,694392,3600037,1036530
36,mul_free,0x85B49F02DE582F3E,100000,24,42369,31.978760,32.011719,4096,242.125000,44.729004,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,713274,3700038,1067276
37,mul_free,0x85B49F02DE582F3E,100000,24,85182,32.002197,31.988281,4096,248.875000,45.419434,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,732270,3800039,1094497
38,mul_free,0x85B49F02DE582F3E,100000,24,48281,31.968262,32.039063,4096,243.000000,44.987305,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,751904,3900040,1124760
39,mul_free,0x85B49F02DE582F3E,100000,24,71151,31.979248,31.968750,4096,252.000000,44.136230,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,770793,4000041,1157194
40,mul_free,0x85B49F02DE582F3E,100000,24,37614,32.010010,32.007813,4096,215.375000,45.360840,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,789438,4100042,1185556
41,mul_free,0x85B49F02DE582F3E,100000,24,97822,31.981934,32.070313,4096,228.375000,44.967773,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,807480,4200043,1214849
42,mul_free,0x85B49F02DE582F3E,100000,24,80479,31.992920,32.054688,4096,201.125000,45.155762,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,824403,4300044,1245519
43,mul_free,0x85B49F02DE582F3E,100000,24,24031,31.995850,32.019531,4096,239.125000,45.860840,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,843717,4400045,1271431
44,mul_free,0x85B49F02DE582F3E,100000,24,63709,32.002686,31.953125,4096,236.500000,45.238770,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,862868,4500046,1300373
45,mul_free,0x85B49F02DE582F3E,100000,24,22987,32.015625,32.070313,4096,223.875000,46.492188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,886203,4600047,1321954
46,mul_free,0x85B49F02DE582F3E,100000,24,45126,32.006348,31.972656,4096,243.375000,44.799805,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,904624,4700048,1354339
47,mul_free,0x85B49F02DE582F3E,100000,24,0,32.015625,32.070313,4096,223.875000,45.992188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,927495,4800049,1379839
48,mul_free,0x85B49F02DE582F3E,100000,24,3102,32.015625,32.070313,4096,223.875000,46.492188,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,950625,4900050,1407043
49,mul_free,0x85B49F02DE582F3E,100000,24,36965,32.055908,32.011719,4096,252.750000,45.382324,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,970118,5000051,1434242
50,mul_free,0x85B49F02DE582F3E,100000,24,42514,31.978760,32.023438,4096,227.375000,45.170410,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,988095,5100052,1462705
51,mul_free,0x85B49F02DE582F3E,100000,24,52098,32.013428,31.980469,4096,229.625000,44.768066,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1007142,5200053,1492769
52,mul_free,0x85B49F02DE582F3E,100000,24,35758,32.010254,31.820313,4096,255.000000,44.499023,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1025270,5300054,1524486
53,mul_free,0x85B49F02DE582F3E,100000,24,58823,32.002441,32.050781,4096,265.750000,44.614180,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1045164,5400055,1554261
54,mul_free,0x85B49F02DE582F3E,100000,24,45557,31.971436,31.941406,4096,243.875000,44.421387,32.015625,32.070313,4096,223.875000,46.492188,6,0xDD263810273DA084,1063458,5500056,1583992
