idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,0,XOR,7,0,1,0x2F7C2C6FA9085D74,5
1,0,XOR,0,4,7,0x769373B2B886AB93,5
2,11,ROTR,7,7,3,0xE4893F5B56DDB017,5
3,5,SHR_XOR,2,0,4,0x818E148C3FDF3C92,5
4,1,ADD,7,2,7,0x49E0AA5BA1785B6A,5
