iter,candidate_fit,best_fit,accepted,len
194,36.0000,158.2375,0,11
195,34.5813,165.7375,0,10
196,168.6875,165.9188,1,9
197,172.9875,172.9875,0,9
198,171.9375,173.3375,0,8
199,-22.2125,171.8000,0,9
200,-24.7125,170.2438,0,9
201,171.2750,171.2750,0,9
202,165.5875,172.5750,0,9
203,37.8688,172.9063,0,9
204,109.8250,174.1000,0,9
205,172.4438,172.4500,0,9
206,176.3938,164.3625,1,9
207,174.0125,174.0125,0,9
208,176.0000,176.0000,0,10
209,161.1313,161.1313,0,8
210,166.8625,171.9750,0,9
211,172.7500,176.1000,0,9
212,176.5000,160.8688,1,10
213,44.3000,163.5750,0,10
214,23.3750,167.8625,0,10
215,164.7438,164.7438,0,10
216,174.3188,161.9125,1,10
217,168.7000,168.7000,0,10
218,164.7750,164.7750,0,10
219,176.9000,176.5000,1,9
220,173.2688,173.2688,0,8
221,169.4875,169.4875,0,10
222,150.6563,168.1813,0,10
223,176.7000,166.4000,1,9
224,157.6563,157.6563,0,10
225,162.9250,162.9250,0,8
226,175.2313,175.2313,0,8
227,149.2000,149.2000,0,8
228,174.9313,174.9313,0,10
229,173.4750,173.4750,0,8
230,176.1000,176.1000,0,8
231,172.9375,167.9625,1,9
232,170.2313,176.8000,0,9
233,169.1875,174.6000,0,8
234,152.5813,171.4375,0,10
235,174.9000,174.2688,1,9
236,172.9000,172.9000,0,9
237,173.6063,175.0000,0,9
238,-21.2563,172.5938,0,9
239,-19.6188,174.4063,0,9
240,175.0000,175.0000,0,9
241,173.0875,173.0875,0,9
242,173.1125,173.1125,0,10
243,169.6125,169.6125,0,9
244,24.7250,170.9938,0,9
245,176.6000,176.6000,0,8
246,172.3625,172.3625,0,8
247,173.4875,151.8188,1,10
248,-21.9250,174.1875,0,10
249,178.2188,176.7000,1,9
250,176.3313,176.2313,1,10
251,151.2563,151.2563,0,11
252,-22.5438,175.2000,0,9
253,175.9000,158.2563,1,10
254,173.1000,173.1000,0,10
255,32.7125,174.6000,0,10
256,119.2313,174.2875,0,10
257,175.3875,175.3875,0,10
258,168.6750,169.0625,0,11
259,142.4000,172.5438,0,10
260,125.3813,173.9000,0,9
261,174.9000,174.9000,0,10
262,174.2000,174.2000,0,11
263,-19.7000,164.9813,0,9
264,161.3750,173.1000,0,10
265,174.8000,167.0938,1,11
266,176.5625,175.1000,1,10
267,-23.6625,174.5875,0,10
268,27.9813,176.3000,0,10
269,166.2688,166.2688,0,9
270,176.9000,163.4750,1,11
271,175.8313,175.1813,1,11
272,139.3625,164.2938,0,11
273,-19.0125,176.3000,0,11
274,175.6438,175.6438,0,12
275,139.0750,177.0000,0,10
276,-22.4938,158.0313,0,11
277,-23.6563,157.9875,0,10
278,-17.1250,173.9688,0,11
279,162.2563,162.2563,0,10
280,-19.0500,156.2938,0,11
281,176.2938,158.4438,1,11
282,177.0000,177.0000,0,11
283,177.8063,177.8063,0,10
284,176.3000,176.3000,0,12
285,176.2000,160.1750,1,12
286,177.1000,177.1000,0,12
287,173.1750,176.3000,0,12
288,177.4000,177.4000,0,13
289,168.0000,177.6000,0,11
290,177.0000,177.0000,0,12
291,174.7125,177.5000,0,12
292,175.9000,173.8688,1,12
293,143.1188,143.1188,0,13
294,35.9063,175.2750,0,12
295,174.8000,174.6875,1,12
296,162.7250,173.5375,0,12
297,164.6688,175.7250,0,12
298,174.1188,176.8000,0,12
299,169.4313,155.1375,1,12
