gen,attempt,train_anchor_mean,holdout_mean,best_so_far,verdict,accepted,mmm_evals,chain_extras_mm_len
0,1,38.648213,-1000000.000000,-inf,NO_PROGRESS,0,96,3
0,2,47.071226,-10764.687500,-inf,STRICT_PROGRESS,1,100,3
0,3,41.360630,-48.684673,-inf,STRICT_PROGRESS,0,100,3
0,4,42.135513,-10764.687500,-inf,STRICT_PROGRESS,0,96,3
0,5,41.360630,-48.684673,-inf,STRICT_PROGRESS,0,100,3
0,6,41.360630,-48.684673,-inf,STRICT_PROGRESS,0,92,3
0,7,-26.141611,-1000000.000000,-inf,NO_PROGRESS,0,100,3
0,8,41.734844,-2739.339543,-inf,STRICT_PROGRESS,0,108,3
0,0,41.360630,-48.684673,-inf,ADVANCE + STRICT_PROGRESS,0,100,3
1,1,41.360630,-48.684673,-48.684673,NO_PROGRESS,0,92,4
1,2,47.421318,-4013.311182,-48.684673,NO_PROGRESS,1,104,4
1,3,41.360630,-48.684673,-48.684673,NO_PROGRESS,0,96,4
1,4,-32.587593,-10764.687500,-48.684673,NO_PROGRESS,0,108,4
1,5,6.374658,-1000000.000000,-48.684673,NO_PROGRESS,0,104,4
1,6,46.301113,-10764.875000,-48.684673,NO_PROGRESS,0,100,4
1,7,41.360630,-48.684673,-48.684673,NO_PROGRESS,0,100,4
1,8,41.360630,-48.684673,-48.684673,NO_PROGRESS,0,100,4
1,0,41.360630,-48.684673,-48.684673,SOFT_HALT(retries_exhausted_but_continuing),0,92,4
