idx,i,j,size
0,4,6,22
1,0,2,22
2,1,3,22
3,1,5,22
4,1,2,22
5,0,4,22
6,3,6,22
7,3,7,22
8,2,3,22
9,4,5,22
10,0,1,22
11,4,7,22
12,6,7,22
13,3,5,22
14,1,2,22
15,3,6,22
16,5,7,22
17,2,4,22
18,0,1,22
19,1,2,22
20,5,6,22
21,3,4,22
