generation,best_composite,best_avalanche,best_balance,best_period,best_chisq,best_used,mean_composite
1,-275.656250,0.6563,31.7813,1024,1367.5000,154,-336.218112
2,-275.656250,0.6563,31.7813,1024,1367.5000,154,-300.792013
3,-267.140625,0.6563,31.3594,1024,305.0000,161,-283.487063
4,-267.140625,0.6563,31.3594,1024,305.0000,161,-278.428306
5,-263.898438,0.6719,32.0234,1024,305.0000,161,-273.648737
6,-263.898438,0.6719,32.0234,1024,305.0000,161,-268.470415
7,-263.538125,0.7031,31.9531,1024,288.5000,163,-266.552388
8,-263.538125,0.7031,31.9531,1024,288.5000,163,-264.954189
9,-263.303750,0.7031,32.0000,1024,288.5000,163,-264.522788
10,-263.303750,0.7031,32.0000,1024,288.5000,163,-264.475249
11,-263.303750,0.7031,32.0000,1024,288.5000,163,-264.142661
12,-263.264688,0.7188,32.0234,1024,288.5000,163,-263.605264
13,-263.264688,0.7188,32.0234,1024,288.5000,163,-264.284384
14,-262.952188,0.7500,32.0234,1024,288.5000,163,-264.107573
15,-262.952188,0.7500,32.0234,1024,288.5000,163,-264.207472
16,-262.952188,0.7500,32.0234,1024,288.5000,163,-263.635767
17,-262.874063,0.7500,31.9922,1024,288.5000,164,-263.510049
18,-262.874063,0.7500,31.9922,1024,288.5000,164,-263.394692
19,-262.668125,0.7500,31.9844,1024,264.0000,163,-263.968970
20,-262.668125,0.7500,31.9844,1024,264.0000,163,-263.352251
21,-262.668125,0.7500,31.9844,1024,264.0000,163,-263.385493
22,-262.539063,0.7500,32.0078,1024,244.5000,163,-263.637910
23,-262.539063,0.7500,32.0078,1024,244.5000,163,-263.293887
24,-262.433750,0.7656,32.0000,1024,264.0000,162,-264.054956
25,-262.433750,0.7656,32.0000,1024,264.0000,162,-263.178746
26,-262.265625,0.7813,31.9844,1024,244.5000,161,-263.561063
27,-262.265625,0.7813,31.9844,1024,244.5000,161,-262.901050
28,-262.265625,0.7813,31.9844,1024,244.5000,161,-263.065664
29,-261.953125,0.8125,31.9844,1024,244.5000,159,-263.275020
30,-261.953125,0.8125,31.9844,1024,244.5000,159,-262.934146
31,-261.914063,0.8125,32.0078,1024,244.0000,159,-262.639532
32,-261.875000,0.8125,32.0000,1024,244.5000,161,-263.300840
33,-261.875000,0.8125,32.0000,1024,244.5000,161,-262.843628
34,-261.796875,0.8281,31.9844,1024,232.5000,161,-262.596045
35,-261.796875,0.8281,31.9844,1024,232.5000,161,-262.967456
36,-261.718750,0.8281,32.0000,1024,232.5000,160,-262.505221
37,-261.718750,0.8281,32.0000,1024,232.5000,160,-262.617961
38,-261.718750,0.8281,32.0000,1024,232.5000,160,-263.121997
39,-261.718750,0.8281,32.0000,1024,232.5000,160,-262.715205
40,-261.718750,0.8281,32.0000,1024,232.5000,160,-262.145488
41,-261.484375,0.8594,31.9844,1024,232.5000,159,-262.436168
42,-261.484375,0.8594,31.9844,1024,232.5000,159,-262.168682
43,-261.484375,0.8594,31.9844,1024,232.5000,159,-262.222808
44,-261.484375,0.8594,31.9844,1024,232.5000,159,-262.178936
45,-261.484375,0.8594,31.9844,1024,232.5000,159,-261.818237
46,-261.367188,0.8750,32.0234,1024,232.5000,162,-262.137064
47,-261.367188,0.8750,32.0234,1024,232.5000,162,-262.517405
48,-261.367188,0.8750,32.0234,1024,232.5000,162,-262.134399
49,-261.015625,0.9063,32.0156,1024,232.5000,159,-262.109668
50,-261.015625,0.9063,32.0156,1024,232.5000,159,-262.271172
51,-261.015625,0.9063,32.0156,1024,232.5000,159,-261.911338
52,-261.015625,0.9063,32.0156,1024,232.5000,159,-261.816553
53,-261.015625,0.9063,32.0156,1024,232.5000,159,-261.961113
54,-261.015625,0.9063,32.0156,1024,232.5000,159,-261.606620
55,-261.015625,0.9063,32.0156,1024,232.5000,159,-261.855986
56,-261.015625,0.9063,32.0156,1024,232.5000,159,-261.757959
57,-260.976563,0.9063,32.0078,1024,232.5000,159,-261.528931
58,-260.976563,0.9063,32.0078,1024,232.5000,159,-261.601201
59,-260.976563,0.9063,32.0078,1024,232.5000,159,-261.777490
60,-260.937500,0.9063,32.0000,1024,232.5000,160,-261.601709
61,-260.937500,0.9063,32.0000,1024,232.5000,160,-261.476802
62,-260.937500,0.9063,32.0000,1024,232.5000,160,-261.664575
63,-260.937500,0.9063,32.0000,1024,232.5000,160,-261.439209
64,-260.937500,0.9063,32.0000,1024,232.5000,160,-261.292114
65,-260.937500,0.9063,32.0000,1024,232.5000,160,-261.384277
66,-260.937500,0.9063,32.0000,1024,232.5000,160,-261.839849
67,-260.937500,0.9063,32.0000,1024,232.5000,160,-261.606592
68,-260.859375,0.9219,32.0156,1024,232.5000,162,-262.144966
69,-260.859375,0.9219,32.0156,1024,232.5000,162,-261.325481
70,-260.859375,0.9219,32.0156,1024,232.5000,162,-261.594351
71,-260.859375,0.9219,32.0156,1024,232.5000,162,-261.332441
72,-260.859375,0.9219,32.0156,1024,232.5000,162,-261.405144
73,-260.859375,0.9219,32.0156,1024,232.5000,162,-261.958867
74,-260.703125,0.9375,31.9844,1024,232.5000,161,-261.773021
75,-260.703125,0.9375,31.9844,1024,232.5000,161,-261.595454
76,-260.703125,0.9375,31.9844,1024,232.5000,161,-261.741692
77,-260.468750,0.9531,32.0000,1024,232.5000,160,-261.413110
78,-260.468750,0.9531,32.0000,1024,232.5000,160,-261.235498
79,-260.468750,0.9531,32.0000,1024,232.5000,160,-260.943706
80,-260.468750,0.9531,32.0000,1024,232.5000,160,-261.304434
81,-260.468750,0.9531,32.0000,1024,232.5000,160,-261.104180
82,-260.468750,0.9531,32.0000,1024,232.5000,160,-261.151727
83,-260.468750,0.9531,32.0000,1024,232.5000,160,-260.956421
84,-260.312500,0.9844,31.9688,1024,232.5000,160,-260.959995
85,-260.312500,0.9844,31.9688,1024,232.5000,160,-261.179956
86,-260.312500,0.9844,31.9688,1024,232.5000,160,-261.149644
87,-260.273438,0.9844,31.9766,1024,232.5000,160,-260.883223
88,-260.273438,0.9844,31.9766,1024,232.5000,160,-261.383359
89,-260.273438,0.9844,31.9766,1024,232.5000,160,-260.878296
90,-260.117188,1.0000,31.9766,1024,232.5000,162,-260.608013
91,-260.117188,1.0000,31.9766,1024,232.5000,162,-260.693911
92,-260.117188,1.0000,31.9766,1024,232.5000,162,-260.753075
93,-260.039063,1.0000,32.0078,1024,232.5000,163,-260.792803
