idx,op_id,op_name,dst,src1,src2
0,2,NOT,90,57,191
1,0,XOR,82,6,246
2,1,AND,11,60,48
3,2,NOT,222,71,73
4,2,NOT,239,44,138
5,2,NOT,191,60,183
6,2,NOT,217,225,137
7,2,NOT,255,46,213
8,2,NOT,166,248,173
9,0,XOR,85,60,38
10,0,XOR,21,26,197
11,1,AND,45,76,219
12,0,XOR,221,65,52
13,2,NOT,200,198,5
14,1,AND,79,4,54
15,1,AND,79,4,54
16,0,XOR,118,31,42
17,0,XOR,55,43,79
18,0,XOR,245,50,12
19,2,NOT,250,56,140
20,1,AND,110,134,90
21,0,XOR,215,15,116
22,1,AND,208,85,40
23,0,XOR,153,239,0
24,0,XOR,44,85,33
25,0,XOR,4,36,161
26,0,XOR,26,90,13
27,2,NOT,149,205,4
28,2,NOT,57,59,24
29,0,XOR,41,26,40
30,1,AND,125,71,253
31,0,XOR,121,245,53
32,0,XOR,110,61,49
33,0,XOR,253,111,47
34,1,AND,129,149,16
35,0,XOR,23,29,206
36,0,XOR,115,106,21
37,2,NOT,127,100,3
38,2,NOT,184,191,148
39,0,XOR,59,41,62
40,1,AND,134,168,188
41,2,NOT,61,242,26
42,1,AND,103,76,73
43,0,XOR,0,9,18
44,0,XOR,104,215,109
45,0,XOR,21,118,39
46,1,AND,138,68,207
47,2,NOT,203,57,37
48,2,NOT,159,31,179
49,1,AND,11,3,44
50,0,XOR,220,216,56
51,2,NOT,117,15,48
52,2,NOT,218,0,34
53,0,XOR,247,1,58
54,2,NOT,165,143,208
55,0,XOR,167,82,85
56,0,XOR,138,4,19
57,2,NOT,92,235,226
58,1,AND,72,145,45
59,0,XOR,163,27,220
60,0,XOR,6,138,115
61,0,XOR,84,51,86
62,0,XOR,223,84,76
63,2,NOT,181,6,182
64,0,XOR,48,34,85
65,1,AND,94,74,235
66,2,NOT,35,21,80
67,2,NOT,26,8,183
68,0,XOR,172,28,122
69,0,XOR,100,63,147
70,0,XOR,30,27,153
71,2,NOT,247,86,65
72,1,AND,150,37,172
73,2,NOT,98,119,173
74,1,AND,94,106,3
75,0,XOR,194,41,153
76,2,NOT,60,77,72
77,1,AND,245,146,12
78,0,XOR,179,129,17
79,2,NOT,142,86,56
80,1,AND,247,217,7
81,2,NOT,61,63,133
82,2,NOT,25,127,12
83,1,AND,105,12,25
84,0,XOR,38,10,110
85,2,NOT,39,253,136
86,2,NOT,237,7,104
87,0,XOR,1,84,24
88,1,AND,40,148,5
89,0,XOR,3,110,237
90,0,XOR,54,121,181
91,0,XOR,99,117,28
92,0,XOR,67,234,1
93,1,AND,104,7,131
94,0,XOR,25,61,37
95,2,NOT,36,206,212
96,0,XOR,22,21,55
97,1,AND,242,217,240
98,0,XOR,217,96,171
99,1,AND,117,111,194
100,1,AND,70,128,254
101,0,XOR,64,181,26
102,0,XOR,124,38,167
103,0,XOR,146,54,253
104,2,NOT,184,27,253
105,0,XOR,4,115,155
106,1,AND,254,229,57
107,0,XOR,63,33,21
108,0,XOR,125,7,120
109,0,XOR,18,170,10
110,2,NOT,77,7,86
111,0,XOR,215,56,222
112,0,XOR,121,128,182
113,0,XOR,249,56,255
114,2,NOT,211,67,35
115,2,NOT,190,58,96
116,2,NOT,54,146,89
117,1,AND,111,67,35
118,0,XOR,230,34,203
119,2,NOT,183,9,62
120,0,XOR,197,3,211
121,2,NOT,9,20,107
122,0,XOR,67,5,32
123,2,NOT,49,58,7
124,0,XOR,255,194,35
125,0,XOR,7,255,55
126,2,NOT,171,176,54
127,2,NOT,17,196,117
128,2,NOT,82,89,227
129,0,XOR,18,149,34
130,0,XOR,245,7,146
131,2,NOT,25,25,114
132,1,AND,159,36,13
133,0,XOR,160,144,191
134,1,AND,190,171,165
135,0,XOR,64,208,134
136,0,XOR,120,99,44
137,2,NOT,239,239,26
138,2,NOT,15,19,185
139,1,AND,122,121,251
140,2,NOT,15,19,185
141,1,AND,122,121,251
142,0,XOR,20,179,67
143,0,XOR,2,49,59
144,2,NOT,29,22,213
145,2,NOT,116,234,156
146,2,NOT,61,72,194
147,2,NOT,240,184,144
148,2,NOT,170,241,196
149,0,XOR,15,28,173
150,0,XOR,18,120,218
151,2,NOT,91,228,99
152,2,NOT,65,228,44
153,1,AND,208,67,187
154,0,XOR,169,2,249
155,2,NOT,31,17,180
156,1,AND,84,17,169
157,1,AND,164,217,211
158,0,XOR,255,25,38
159,2,NOT,49,245,116
160,2,NOT,152,20,96
161,0,XOR,229,54,234
162,2,NOT,192,73,94
163,2,NOT,192,193,136
164,2,NOT,225,155,106
165,0,XOR,25,29,18
166,2,NOT,219,63,60
167,0,XOR,149,62,240
168,2,NOT,37,26,228
169,1,AND,24,27,216
170,2,NOT,2,27,167
171,0,XOR,4,124,49
172,0,XOR,82,18,159
173,0,XOR,59,182,63
174,2,NOT,155,45,8
175,0,XOR,125,130,191
176,2,NOT,118,246,119
177,2,NOT,22,214,87
178,1,AND,46,233,211
179,0,XOR,146,157,116
180,2,NOT,12,140,20
181,0,XOR,121,84,181
182,0,XOR,49,169,134
183,0,XOR,98,60,229
184,1,AND,58,192,51
185,0,XOR,39,54,30
186,2,NOT,62,49,200
187,0,XOR,139,199,110
188,2,NOT,249,39,77
189,0,XOR,8,185,33
190,0,XOR,207,255,39
191,0,XOR,243,133,150
192,1,AND,224,74,9
193,2,NOT,171,9,187
194,0,XOR,146,12,62
195,2,NOT,75,246,63
196,2,NOT,255,9,153
197,0,XOR,174,163,106
198,2,NOT,119,1,217
199,0,XOR,235,23,166
200,0,XOR,108,221,169
201,0,XOR,132,207,152
202,0,XOR,103,57,32
203,0,XOR,9,245,82
204,0,XOR,183,111,169
205,2,NOT,33,9,2
206,0,XOR,24,47,183
207,1,AND,186,155,207
208,2,NOT,1,163,82
209,1,AND,173,109,134
210,1,AND,31,221,166
211,2,NOT,172,96,49
212,2,NOT,27,103,255
213,0,XOR,192,67,33
214,2,NOT,98,132,138
215,0,XOR,225,30,237
216,0,XOR,17,13,121
217,2,NOT,131,25,134
218,2,NOT,212,2,161
219,2,NOT,91,119,123
220,2,NOT,208,25,234
221,0,XOR,41,4,27
222,0,XOR,13,51,208
223,0,XOR,123,44,188
224,2,NOT,90,160,238
225,2,NOT,121,186,55
226,0,XOR,16,121,171
227,0,XOR,182,149,169
228,0,XOR,198,129,39
229,2,NOT,219,122,182
230,0,XOR,182,149,169
231,0,XOR,198,129,39
232,2,NOT,219,122,182
233,0,XOR,120,25,108
234,0,XOR,253,175,5
235,0,XOR,30,84,192
236,0,XOR,8,13,132
237,0,XOR,8,13,132
238,2,NOT,46,244,59
239,0,XOR,15,30,150
240,0,XOR,75,197,9
241,2,NOT,126,132,225
242,0,XOR,127,82,119
243,0,XOR,27,245,182
244,0,XOR,248,123,21
245,2,NOT,61,120,202
246,1,AND,50,36,41
247,0,XOR,59,62,103
248,2,NOT,253,216,120
249,0,XOR,63,9,1
250,0,XOR,14,200,118
251,2,NOT,38,8,70
252,0,XOR,176,230,194
253,0,XOR,67,121,13
254,1,AND,93,227,144
255,0,XOR,43,38,62
256,2,NOT,125,175,81
257,2,NOT,212,237,205
258,0,XOR,4,64,87
259,2,NOT,71,90,72
260,0,XOR,215,237,119
261,0,XOR,215,237,119
262,1,AND,117,37,1
263,1,AND,152,245,51
264,0,XOR,206,161,240
265,2,NOT,211,126,233
266,2,NOT,0,191,249
267,0,XOR,5,75,250
268,2,NOT,7,126,177
269,0,XOR,26,25,132
270,0,XOR,26,25,132
271,0,XOR,40,27,11
272,2,NOT,58,74,24
273,0,XOR,54,211,120
274,0,XOR,21,235,54
275,0,XOR,198,134,153
276,2,NOT,4,54,255
277,1,AND,207,20,115
278,2,NOT,120,30,149
279,0,XOR,6,48,211
280,2,NOT,45,4,204
281,0,XOR,115,207,210
282,0,XOR,198,75,174
283,2,NOT,47,45,150
284,0,XOR,86,94,133
285,0,XOR,27,16,208
286,0,XOR,34,21,23
287,1,AND,59,60,75
288,2,NOT,53,120,113
289,2,NOT,58,75,62
290,0,XOR,134,1,31
291,2,NOT,122,117,32
292,2,NOT,51,18,190
293,0,XOR,32,208,16
294,1,AND,220,219,48
295,0,XOR,32,208,16
296,1,AND,220,219,48
297,2,NOT,3,17,10
298,0,XOR,42,51,245
299,0,XOR,0,214,53
300,1,AND,193,15,116
301,2,NOT,15,21,134
302,0,XOR,19,54,247
303,0,XOR,16,222,41
304,0,XOR,16,222,41
305,2,NOT,241,152,145
306,2,NOT,25,193,1
307,2,NOT,88,72,71
308,0,XOR,11,220,59
309,0,XOR,7,59,149
310,2,NOT,31,30,207
311,0,XOR,11,220,59
312,0,XOR,7,59,149
313,2,NOT,31,30,207
314,0,XOR,10,25,241
315,2,NOT,60,120,200
316,2,NOT,49,60,253
317,2,NOT,126,49,116
318,0,XOR,2,26,111
319,2,NOT,173,208,155
320,2,NOT,17,126,140
321,0,XOR,18,134,58
322,0,XOR,29,104,41
323,2,NOT,1,50,93
324,1,AND,57,166,192
325,1,AND,57,166,192
326,2,NOT,57,38,205
327,0,XOR,62,15,92
328,0,XOR,1,243,58
329,2,NOT,220,202,73
330,0,XOR,199,164,205
331,0,XOR,112,237,109
332,1,AND,194,85,51
333,2,NOT,170,171,173
334,0,XOR,41,25,204
335,0,XOR,20,116,47
336,2,NOT,35,54,215
337,0,XOR,3,187,16
338,0,XOR,56,21,71
339,2,NOT,35,54,215
340,0,XOR,36,79,18
341,0,XOR,106,115,165
342,2,NOT,28,26,34
343,2,NOT,37,59,10
344,2,NOT,28,26,34
345,0,XOR,39,249,209
346,2,NOT,55,45,121
347,0,XOR,53,198,165
348,0,XOR,53,198,165
349,2,NOT,33,15,69
350,2,NOT,23,198,90
351,2,NOT,149,61,100
352,0,XOR,13,215,33
353,0,XOR,232,115,37
354,2,NOT,37,19,254
355,2,NOT,163,233,152
356,2,NOT,46,55,181
357,2,NOT,10,58,166
358,2,NOT,14,4,81
359,0,XOR,12,64,11
360,2,NOT,44,17,168
361,0,XOR,51,172,54
362,2,NOT,142,134,226
363,2,NOT,59,62,209
364,0,XOR,25,120,142
365,2,NOT,9,25,232
366,2,NOT,22,9,23
367,2,NOT,52,21,182
368,0,XOR,6,169,26
369,2,NOT,39,45,81
370,0,XOR,48,31,4
371,0,XOR,16,54,230
372,0,XOR,16,54,230
373,0,XOR,16,54,230
374,0,XOR,16,54,230
375,0,XOR,16,54,230
376,0,XOR,16,54,230
377,0,XOR,16,54,230
378,0,XOR,16,54,230
379,0,XOR,16,54,230
380,0,XOR,16,54,230
381,0,XOR,16,54,230
