idx,kind,i,j,size
0,0,0,2,25
1,0,1,7,25
2,0,0,3,25
3,0,4,7,25
4,0,0,4,25
5,0,0,1,25
6,0,0,6,25
7,0,2,6,25
8,0,1,2,25
9,0,0,5,25
10,0,4,5,25
11,0,2,7,25
12,0,3,5,25
13,0,2,4,25
14,0,1,3,25
15,0,1,2,25
16,0,5,6,25
17,0,2,3,25
18,0,4,5,25
19,0,5,7,25
20,0,3,7,25
21,0,3,7,25
22,0,6,7,25
23,0,3,4,25
24,0,0,5,25
