sample,cell,anchor_mean,holdout_mean,nearest_seed_norm,mmm_eval_before_accept,mmm_call_count,mm_eval_before_accept,mm_call_count
0,23,47.455078,24.624397,1.000000,true,0,true,1
1,29,47.480103,38.529922,1.000000,true,1,true,1
2,35,47.580078,42.873938,1.000000,true,2,true,2
3,23,47.492310,29.129641,1.000000,true,0,true,0
4,23,47.162842,42.873938,1.000000,true,0,true,0
5,23,47.670410,42.873938,1.000000,true,0,true,2
6,29,47.257446,46.858301,1.000000,true,1,true,0
7,23,47.605103,38.529922,1.000000,true,0,true,1
8,29,47.412456,42.873938,1.000000,true,1,true,2
9,23,47.332520,39.474192,1.000000,true,0,true,0
10,23,47.634873,39.474192,1.000000,true,0,true,1
11,23,47.247563,39.474192,1.000000,true,0,true,0
12,23,47.307373,39.156509,1.000000,true,0,true,0
13,29,47.229370,32.393284,1.000000,true,1,true,1
14,29,47.522827,10.466631,1.000000,true,1,true,0
15,35,46.852417,38.948335,1.000000,true,3,true,0
