opaque_id	selected_plan_sha256	selected_latency_us	identity_latency_us	pack_all_latency_us	exhaustive_latency_us	regret_us
tensor_00d41eb7ec7fb22a	37764d1db212b76edaac81919317cad8207f8e5331bdf0db7f5ea63274813045	35.572676000	35.572676000	46.686061000	35.572676000	0.000000000
tensor_24c88410ece88e3b	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	55.968320988	81.944339506	55.968320988	55.968320988	0.000000000
tensor_28064ec7d52d31fe	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	49.295246914	69.618925926	49.295246914	49.295246914	0.000000000
tensor_313eeaf0dc5c3d45	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	39.575012346	49.360925926	39.575012346	39.575012346	0.000000000
tensor_3f9742f4d17ed964	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	48.918039000	67.568785000	48.918039000	48.918039000	0.000000000
tensor_47295585575e798f	37764d1db212b76edaac81919317cad8207f8e5331bdf0db7f5ea63274813045	32.597899000	32.597899000	46.276552000	32.597899000	0.000000000
tensor_4fc63ab7d882a224	37764d1db212b76edaac81919317cad8207f8e5331bdf0db7f5ea63274813045	31.571320000	31.571320000	46.522221000	31.571320000	0.000000000
tensor_52b9d1396b4e1952	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	60.033900000	80.339900000	60.033900000	60.033900000	0.000000000
tensor_75c4d78a0c0a5a43	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	171.844250000	203.394750000	171.844250000	171.844250000	0.000000000
tensor_7be85d1ccfb5ed08	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	38.276312000	50.137456000	38.276312000	38.276312000	0.000000000
tensor_b5da76ab00e1def3	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	40.417099000	47.800610000	40.417099000	40.417099000	0.000000000
tensor_c5e2287aaa20fd06	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	52.978400000	75.211400000	52.978400000	52.978400000	0.000000000
tensor_cf77e9c96fdf6de2	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	74.744400000	98.484850000	74.744400000	74.744400000	0.000000000
tensor_cff7503060be0c33	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	47.742407407	55.145617284	47.742407407	47.742407407	0.000000000
tensor_d8127885b2ff0a0d	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	209.650750000	223.120700000	209.650750000	206.702750000	2.948000000
tensor_e19f309f66b6b91e	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	960.468250000	1050.777200000	960.468250000	960.468250000	0.000000000
tensor_f196d6b73b0f68b5	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	39.825493827	61.729432099	39.825493827	39.825493827	0.000000000
tensor_fab1ddb9e88be7a7	15629df73d2b40da23b660861460d05bf449db778a22d8d7c44407031bfd8925	238.217700000	217.622200000	238.217700000	209.458250000	28.759450000
