idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,5,SHR_XOR,1,0,4,0xD06E1079CBFAB51C,6
1,4,SHL_XOR,5,1,2,0x75CA17A9FC02843A,6
2,4,SHL_XOR,3,5,1,0x5DE7314E06561827,6
3,4,SHL_XOR,4,3,5,0x3FBC21149438B1A7,6
4,5,SHR_XOR,5,4,3,0x8E6C2E748711D8C7,6
5,4,SHL_XOR,7,5,5,0x765BB26C1618DD01,6
