idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,8,AND_NOT,6,7,4,0x263166A508E27431,4
1,2,MUL,0,0,0,0x60898CDBEA42EFD7,4
2,6,SPLITMIX_STEP,7,0,7,0xE1835A88D040D59F,4
3,13,MUM,7,2,7,0x1D2047660AEB559B,4
