idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,5,SHR_XOR,5,0,4,0x29B22EFC3FA4EFCE,7
1,4,SHL_XOR,2,5,1,0x8E37BB4CCF7B8184,7
2,4,SHL_XOR,7,2,2,0x23989583C31B350B,7
3,3,ROTL,7,7,2,0xB44B1893E5F97889,7
4,4,SHL_XOR,4,7,2,0x1D69B0DBD9472C6E,7
5,4,SHL_XOR,0,4,7,0x75E55731AEEAA718,7
6,5,SHR_XOR,7,0,3,0xB56A06E05A65AE7B,7
