outer_iter,mode,seed,sa_steps,max_prog_len,local_best_iter,local_avalanche,local_balance,local_period,local_chisq,local_composite,best_avalanche,best_balance,best_period,best_chisq,best_composite,best_len,best_hash,accepted,evaluated,elapsed_ms
27,mul_free,0x41A78032F20AF906,10000,24,26,31.972900,32.011719,4096,228.375000,45.670410,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,52561,280029,93250
28,mul_free,0x41A78032F20AF906,10000,24,12,31.990234,31.859375,4096,216.875000,43.699219,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,54349,290030,96732
29,mul_free,0x41A78032F20AF906,10000,24,4096,31.972900,32.011719,4096,228.375000,45.670410,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,56544,300031,99506
30,mul_free,0x41A78032F20AF906,10000,24,5307,31.994629,32.062500,4096,275.000000,44.433789,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,58315,310032,102670
31,mul_free,0x41A78032F20AF906,10000,24,3109,31.972900,32.011719,4096,228.375000,45.670410,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,60449,320033,105466
32,mul_free,0x41A78032F20AF906,10000,24,9642,32.014893,31.917969,4096,255.625000,44.934668,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,62605,330034,108214
33,mul_free,0x41A78032F20AF906,10000,24,6238,31.995117,31.992188,4096,214.500000,42.912109,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,64372,340035,111995
34,mul_free,0x41A78032F20AF906,10000,24,7890,32.000000,31.878906,4096,250.000000,45.394531,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,66539,350036,114830
35,mul_free,0x41A78032F20AF906,10000,24,4318,31.969238,31.980469,4096,225.875000,43.094727,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,68258,360037,118379
36,mul_free,0x41A78032F20AF906,10000,24,9296,32.000977,32.011719,4096,272.000000,43.761641,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,69912,370038,121807
37,mul_free,0x41A78032F20AF906,10000,24,7029,31.988281,32.000000,4096,243.250000,44.882813,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,71748,380039,125146
38,mul_free,0x41A78032F20AF906,10000,24,4942,32.010254,32.054688,4096,230.500000,43.624023,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,73727,390040,128261
39,mul_free,0x41A78032F20AF906,10000,24,6000,31.989014,32.007813,4096,276.250000,43.638574,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,75583,400041,131688
40,mul_free,0x41A78032F20AF906,10000,24,6636,32.000488,32.066406,4096,254.500000,44.163086,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,77343,410042,135161
41,mul_free,0x41A78032F20AF906,10000,24,7764,32.052246,32.097656,4096,234.875000,42.989258,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,79324,420043,138413
42,mul_free,0x41A78032F20AF906,10000,24,4504,31.983398,31.996094,4096,235.000000,43.314453,31.972900,32.011719,4096,228.375000,45.670410,8,0x54554036151076B1,80950,430044,142030
43,mul_free,0x41A78032F20AF906,10000,24,6469,32.027588,32.000000,4096,232.125000,45.724121,32.027588,32.000000,4096,232.125000,45.724121,8,0xD214343C6A902A4B,83114,440045,144958
