generation,best_composite,best_avalanche,best_balance,best_period,best_chisq,best_min_pb,best_max_pb,best_used,mean_composite
72,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.477295
73,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.473633
74,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.791646
75,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.847402
76,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.023008
77,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.543247
78,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.858315
79,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.569458
80,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.244067
81,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.510288
82,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.990063
83,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.592661
84,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.499287
85,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.629297
86,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.784497
87,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.636978
88,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.171934
89,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.968765
90,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.678711
91,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.012637
92,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.649448
93,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.494766
94,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.739780
95,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.862563
96,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.684951
97,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.789766
98,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.938257
99,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.789219
100,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.852085
101,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.915811
102,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.768340
103,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.819766
104,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.931704
105,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.923608
106,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.228408
107,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.500679
108,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.051187
109,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.480967
110,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.415327
111,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.076221
112,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.688613
113,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.747344
114,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.687563
115,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.942056
116,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.813867
117,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.972461
118,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.528564
119,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.430298
120,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.868462
121,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.396401
122,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.516738
123,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.678018
124,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.734287
125,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.026611
126,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.938638
127,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.570815
128,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.788594
129,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.587065
130,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.683594
131,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.847212
132,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.781685
133,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.695708
134,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.196455
135,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.540161
136,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.816074
137,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.648804
138,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.768867
139,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.592041
140,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.954966
141,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.770908
142,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.841201
143,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.603638
144,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.745415
145,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.604629
