idx,op_id,op_name,dst,src1,src2
0,1,AND,139,107,20
1,2,NOT,247,98,67
2,0,XOR,89,246,215
3,1,AND,148,139,11
4,1,AND,175,31,17
5,1,AND,182,34,80
6,2,NOT,201,182,114
7,1,AND,61,233,96
8,2,NOT,116,95,248
9,0,XOR,181,0,177
10,1,AND,52,114,116
11,1,AND,75,18,79
12,1,AND,111,157,230
13,0,XOR,153,239,0
14,2,NOT,160,253,51
15,2,NOT,114,6,255
16,0,XOR,221,224,211
17,1,AND,129,149,16
18,0,XOR,138,146,37
19,0,XOR,189,18,126
20,2,NOT,233,210,123
21,1,AND,148,12,75
22,0,XOR,166,23,143
23,0,XOR,221,210,110
24,2,NOT,150,107,52
25,1,AND,102,143,44
26,0,XOR,102,11,205
27,2,NOT,199,92,224
28,0,XOR,163,176,117
29,1,AND,143,53,27
30,2,NOT,152,22,255
31,1,AND,225,15,91
32,0,XOR,90,229,116
33,2,NOT,156,113,194
34,0,XOR,3,21,213
35,1,AND,219,233,180
36,0,XOR,227,32,223
37,0,XOR,46,166,9
38,0,XOR,189,142,99
39,1,AND,99,70,81
40,1,AND,167,213,176
41,0,XOR,219,32,189
42,0,XOR,77,152,178
43,2,NOT,34,88,202
44,1,AND,85,40,105
45,0,XOR,64,162,117
46,1,AND,182,28,161
47,1,AND,235,148,129
48,0,XOR,226,175,84
49,2,NOT,206,6,182
50,2,NOT,43,96,19
51,0,XOR,28,216,150
52,0,XOR,155,223,192
53,1,AND,203,182,145
54,0,XOR,240,4,240
55,2,NOT,196,103,165
56,2,NOT,189,251,243
57,1,AND,145,47,138
58,1,AND,214,129,222
59,2,NOT,174,195,176
60,1,AND,214,129,222
61,2,NOT,174,195,176
62,1,AND,100,252,50
63,0,XOR,23,90,118
64,0,XOR,128,231,191
65,2,NOT,169,119,15
66,2,NOT,64,123,206
67,2,NOT,105,223,13
68,2,NOT,233,48,32
69,2,NOT,38,152,142
70,0,XOR,42,208,149
71,1,AND,70,88,219
72,1,AND,149,46,219
73,2,NOT,66,56,32
74,2,NOT,25,142,80
75,0,XOR,156,112,90
76,0,XOR,226,172,17
77,2,NOT,185,117,244
78,2,NOT,125,102,35
79,1,AND,71,46,247
80,0,XOR,173,89,15
81,1,AND,21,108,228
82,0,XOR,239,168,153
83,1,AND,188,77,145
84,2,NOT,56,60,78
85,0,XOR,61,57,52
86,0,XOR,210,74,70
87,0,XOR,42,63,44
88,1,AND,152,204,5
89,1,AND,127,230,132
90,0,XOR,241,236,37
91,0,XOR,141,126,59
92,0,XOR,195,160,254
93,0,XOR,194,235,190
94,0,XOR,41,175,199
95,1,AND,101,99,147
96,1,AND,204,193,18
97,2,NOT,179,112,133
98,2,NOT,125,154,219
99,0,XOR,188,50,241
100,2,NOT,198,124,172
101,2,NOT,215,91,231
102,2,NOT,167,22,250
103,0,XOR,187,19,156
104,1,AND,237,59,45
105,1,AND,220,16,97
106,0,XOR,29,45,23
107,0,XOR,81,223,16
108,1,AND,96,186,108
109,1,AND,249,158,73
110,2,NOT,68,87,99
111,0,XOR,197,59,103
112,1,AND,66,200,81
113,2,NOT,14,226,223
114,1,AND,248,53,10
115,0,XOR,244,103,139
116,1,AND,183,98,219
117,0,XOR,229,173,97
118,0,XOR,2,138,234
119,1,AND,107,255,181
120,2,NOT,161,165,40
121,2,NOT,75,238,97
122,1,AND,216,4,101
123,2,NOT,211,67,113
124,0,XOR,233,223,112
125,0,XOR,18,14,157
126,0,XOR,102,112,152
127,0,XOR,104,174,82
128,0,XOR,229,6,183
129,1,AND,224,199,40
130,2,NOT,163,200,68
131,1,AND,126,182,156
132,2,NOT,106,121,53
133,1,AND,229,75,30
134,1,AND,18,184,60
135,0,XOR,84,36,207
136,0,XOR,205,164,96
137,2,NOT,67,38,243
138,0,XOR,182,149,169
139,0,XOR,154,35,158
140,2,NOT,99,243,2
141,2,NOT,126,132,225
142,2,NOT,143,220,55
143,2,NOT,231,129,123
144,2,NOT,134,41,163
145,2,NOT,103,242,170
146,0,XOR,53,73,234
147,1,AND,20,62,108
148,2,NOT,12,134,73
149,2,NOT,135,193,86
150,1,AND,173,190,214
151,2,NOT,129,170,53
152,1,AND,151,233,29
153,2,NOT,186,113,43
154,2,NOT,137,169,112
155,1,AND,135,205,181
156,2,NOT,97,37,20
157,0,XOR,126,181,120
158,0,XOR,48,249,202
159,0,XOR,224,124,195
160,0,XOR,132,253,205
161,0,XOR,132,253,205
162,1,AND,78,37,163
163,1,AND,78,37,163
164,1,AND,78,37,163
165,1,AND,78,37,163
