idx,op_id,op_name,dst,src1,src2,used_len
0,6,ACCEPT_SA,3,2,0,16
1,5,ACCEPT_IF_BETTER,0,1,1,16
2,9,REG_XOR,3,3,1,16
3,3,CROSS_BEST_CUR,0,0,0,16
4,8,RAND_REG,3,2,1,16
5,3,CROSS_BEST_CUR,1,2,3,16
6,12,NOP,1,1,0,16
7,4,EVAL_CUR,3,2,1,16
8,5,ACCEPT_IF_BETTER,3,1,2,16
9,7,RESET_CUR_TO_BEST,0,1,1,16
10,0,INIT_CUR,2,0,1,16
11,8,RAND_REG,2,1,0,16
12,4,EVAL_CUR,1,1,0,16
13,6,ACCEPT_SA,3,3,0,16
14,1,MUTATE_CUR,2,0,0,16
15,8,RAND_REG,1,2,3,16
