idx,op_id,op_name,dst,src1,src2,used_len
0,1,MUTATE_CUR,1,0,0,12
1,0,INIT_CUR,3,0,1,12
2,0,INIT_CUR,0,1,2,12
3,4,EVAL_CUR,2,1,2,12
4,10,REG_SHR,1,2,1,12
5,5,ACCEPT_IF_BETTER,0,1,0,12
6,8,RAND_REG,2,0,0,12
7,7,RESET_CUR_TO_BEST,2,2,1,12
8,0,INIT_CUR,2,3,0,12
9,10,REG_SHR,0,0,0,12
10,9,REG_XOR,2,3,2,12
11,11,TEMP_DECAY,3,2,3,12
