idx,op_id,op_name,dst,src1,src2
0,12,CALL_META,0,0,2
1,4,EVAL_META_CUR,1,3,2
2,10,REG_SHR,0,0,1
3,4,EVAL_META_CUR,1,0,3
4,6,ACCEPT_META_SA,0,0,3
5,11,TEMP_DECAY,2,0,0
6,10,REG_SHR,3,2,1
