iter,candidate_fit,best_fit,accepted,len
192,18.2716,18.2716,0,9
193,44.9678,44.9678,0,7
194,39.9100,39.9100,0,9
195,21.3286,21.3286,0,8
196,0.0000,39.2482,0,7
197,-10765.9500,39.8975,0,7
198,-78.4245,31.0164,0,9
199,11.2201,11.2201,0,8
200,-10828.6500,-2131.0418,0,8
201,-8735.9331,46.6943,0,7
202,9.5684,15.6649,0,8
203,20.3790,20.3790,0,8
204,-8720.6919,-6.3269,0,8
205,43.3698,45.8724,0,8
206,32.9144,30.1156,1,8
207,40.5361,24.6474,1,9
208,37.2813,37.2813,0,9
209,-18.5577,-18.5577,0,10
210,32.4816,32.4816,0,9
211,38.6513,38.6513,0,9
212,3.5586,-2130.9489,1,9
213,16.6347,16.6347,0,9
214,6.7463,13.7723,0,9
215,7.8179,-2123.7616,1,9
216,-2135.8229,-2138.9794,1,10
217,-4318.8086,-4318.8086,0,10
218,-12.6556,-2123.4466,1,10
219,-7129.2884,3.7929,0,9
220,18.8287,-2132.4791,1,10
221,19.6915,19.6915,0,10
222,2.2661,-2.8010,1,10
223,-2152.1360,36.5444,0,9
224,3.1597,19.8671,0,11
225,-27.5341,-29.9154,1,9
226,-0.9291,-0.9291,0,10
227,-4.9578,23.1637,0,8
228,30.7690,19.3831,1,9
229,30.9833,30.9833,0,10
230,-2170.8537,14.4260,0,9
231,-8701.5435,15.1026,0,9
232,8.2848,-2148.8514,1,10
233,-2152.2946,45.3655,0,10
234,-8634.1681,20.6527,0,10
235,7.7646,7.7646,0,9
236,43.0887,29.1176,1,10
237,-8688.5932,11.6025,0,10
238,-9.9831,-14.2890,1,10
239,-16.1486,5.1185,0,10
240,14.0624,17.9074,0,10
241,45.1679,45.1679,0,11
242,-10764.4500,29.6154,0,10
243,38.1835,32.5760,1,11
244,-8677.2429,-2112.1385,0,11
245,17.1297,31.8986,0,11
246,30.9453,30.9453,0,12
247,36.6413,46.6800,0,11
248,9.9160,9.5041,1,10
249,20.7438,20.7438,0,11
250,-8697.6538,26.7553,0,10
251,20.0163,26.9806,0,10
252,25.7518,0.9889,1,10
253,38.6513,20.2473,1,10
254,15.8662,28.5800,0,10
255,28.7610,28.7610,0,10
256,-8644.4528,23.1751,0,9
257,11.0996,11.0996,0,10
258,17.8620,17.8620,0,9
259,2.5976,2.5976,0,9
260,-6610.0607,23.0476,0,10
261,13.5982,4.6848,1,11
262,3.7689,3.7689,0,12
263,26.1586,10.7618,1,11
264,-36.7126,6.8269,0,10
265,21.1612,28.1063,0,10
266,15.1222,29.9946,0,11
267,-8626.0186,15.1911,0,12
268,-8708.9106,0.4447,0,11
269,19.6787,19.6787,0,12
270,-2377.9455,16.2744,0,12
271,12.0945,13.9761,0,11
272,-4518.3842,10.9568,0,11
273,7.9621,7.9621,0,10
274,-3.6644,-1.8615,0,11
275,25.3508,1.7734,1,11
276,-3.5742,7.7878,0,11
277,4.0056,4.0056,0,11
278,37.0908,14.0996,1,11
279,33.3328,31.3965,1,12
280,44.3882,44.3882,0,11
281,46.8365,46.8365,0,12
282,19.9690,37.4700,0,13
283,34.4744,34.4744,0,13
284,46.7605,46.7605,0,11
285,43.4213,25.7910,1,12
286,35.9509,35.9509,0,13
287,12.5544,38.5380,0,11
288,42.8131,42.8131,0,13
289,-10766.5500,37.2115,0,13
290,45.4981,45.4981,0,11
291,-8721.1246,21.9852,0,13
292,38.2365,43.0867,0,11
293,5.7310,18.7569,0,12
294,40.7962,46.7050,0,11
295,35.5812,46.9845,0,12
296,40.6258,41.4566,0,11
297,42.7790,47.1080,0,12
298,40.3411,41.2677,0,13
299,43.7697,30.8607,1,12
