idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,14,ADD_ROT,0,0,2,0x99FC96E7ECE83DEA,4
1,5,SHR_XOR,0,0,1,0x48F8218F8C4F067B,4
2,3,ROTL,7,5,6,0xE6442CC347FB8A7B,4
3,2,MUL,7,0,4,0xB40EDE37A96C4EE4,4
