idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,5,SHR_XOR,3,0,6,0x331ED8E9306C5EAD,4
1,11,ROTR,7,3,0,0x150953AA841014E6,4
2,2,MUL,1,3,4,0x5824DA58A2F6F3C4,4
3,1,ADD,7,7,1,0x5A95C9B964307FA8,4
