idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,11,ROTR,6,0,6,0xE6BCFE3D3A1BD393,12
1,4,SHL_XOR,7,7,6,0xFC4231EE9D546C0D,12
2,5,SHR_XOR,3,6,0,0xD144AC0531F0ECA9,12
3,14,ADD_ROT,4,2,0,0xAA6BDF01962863BC,12
4,7,ADD_CONST,2,0,3,0x4FB4AC3BAD747E04,12
5,12,BSWAP,3,5,7,0x108B621384106850,12
6,3,ROTL,1,7,2,0x8B511240BCB2C2D3,12
7,14,ADD_ROT,5,3,0,0xD2C7C3DF772E4738,12
8,9,OR_SHIFT,7,4,2,0x76CD7F7E033C1B73,12
9,5,SHR_XOR,1,6,6,0xDB97564BDF6EE442,12
10,9,OR_SHIFT,4,5,6,0xBB8C5F1EE83F20F3,12
11,1,ADD,7,1,7,0x7A14C211EF818B64,12
