idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,0,XOR,6,2,6,0x640011C1DE3EA406,17
1,14,ADD_ROT,2,2,6,0x7F686231548C970A,17
2,7,ADD_CONST,1,1,6,0xA3D5D8BDAD5BBA1F,17
3,9,OR_SHIFT,4,2,2,0x1D8C61459A717B13,17
4,1,ADD,6,1,1,0x44CACE87C1008CFC,17
5,5,SHR_XOR,7,3,4,0x428392333FA93E9F,17
6,3,ROTL,2,4,5,0x2089687AF9CF3D4E,17
7,0,XOR,0,7,7,0xB60E17F1418A9427,17
8,9,OR_SHIFT,7,1,5,0x16329F70DE98921C,17
9,9,OR_SHIFT,3,6,1,0xC8A4A2D368DB3085,17
10,9,OR_SHIFT,2,6,2,0xA11137BAEF150655,17
11,1,ADD,6,1,3,0x57C69AAEEC7706E5,17
12,0,XOR,0,7,5,0xC7059672FE4732F4,17
13,11,ROTR,6,2,3,0xE256DF163E39B140,17
14,5,SHR_XOR,0,3,4,0x266E2E4543096232,17
15,5,SHR_XOR,0,2,4,0x15119BB351729B3F,17
16,12,BSWAP,7,3,4,0xE409C7F85DBE3B2E,17
