idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,11,ROTR,4,0,5,0xF30C91DE881FD1DE,12
1,14,ADD_ROT,3,4,2,0x87FF74AC0ECE2F04,12
2,5,SHR_XOR,6,3,5,0xE081E6DF48FA9010,12
3,0,XOR,6,4,0,0x9E2204FA5376AD54,12
4,5,SHR_XOR,7,7,4,0xD9B63EDD1046BD14,12
5,5,SHR_XOR,6,4,4,0xEDE55BD0642D4CC7,12
6,1,ADD,2,0,3,0x08D13887162CC08C,12
7,11,ROTR,4,0,3,0xBDB64B64FDBD6F88,12
8,14,ADD_ROT,5,4,6,0x2A4AB6B0894154A0,12
9,9,OR_SHIFT,2,1,7,0x97AF5734C0FC80A0,12
10,1,ADD,2,5,1,0xA83CB2138B6A60FD,12
11,4,SHL_XOR,7,3,1,0x0DEE2DA7C533DFBB,12
