idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,14,ADD_ROT,1,0,4,0x9D7286D5E50BAF98,20
1,7,ADD_CONST,2,1,7,0xD320912B113423DA,20
2,4,SHL_XOR,3,0,7,0xB78940E4385982EB,20
3,0,XOR,2,0,2,0xAC3BC2D8AD3A2EA2,20
4,1,ADD,7,6,0,0x4216F4D81F756B9D,20
5,4,SHL_XOR,7,2,4,0xA0FC2D84857AC654,20
6,8,AND_NOT,0,4,0,0xC5F8EA9BCD5C312E,20
7,12,BSWAP,0,7,0,0x55F1B1A04801D8BD,20
8,7,ADD_CONST,5,2,1,0xD8974188A0C47C93,20
9,11,ROTR,3,5,0,0xBFB6B0E898192268,20
10,1,ADD,2,2,6,0xA00A4CBC1F7BD5BE,20
11,7,ADD_CONST,7,5,4,0x3020AE94C0A4862E,20
12,3,ROTL,2,1,7,0xB6AF514505AEBDF3,20
13,9,OR_SHIFT,3,3,1,0x5D69F65EC9B37A30,20
14,5,SHR_XOR,1,1,2,0x2B6C3346CBA15489,20
15,4,SHL_XOR,4,0,4,0xF5B7D2FAC4B3BC24,20
16,0,XOR,5,7,3,0xD08AA13A9C06349B,20
17,4,SHL_XOR,7,6,7,0x5F8744F22B765E20,20
18,9,OR_SHIFT,6,5,7,0xDB4B81D6CF092946,20
19,0,XOR,7,6,0,0xCC5C184A6B01F492,20
