idx,op_id,op_name,dst,src1,src2,imm_hex,used_len,composite,avalanche,balance,period,chisq
0,1,ADD,2,0,3,0x9F6223E58D7E5008,4,47.7192,31.9954,31.9531,4096,245.5000
1,5,SHR_XOR,0,0,5,0xE0E1F082ACFFE0D5,4,47.7192,31.9954,31.9531,4096,245.5000
2,6,SPLITMIX_STEP,7,0,2,0x563CBC0CEAFF44FA,4,47.7192,31.9954,31.9531,4096,245.5000
3,6,SPLITMIX_STEP,7,7,5,0x757CB2ED1B4342AD,4,47.7192,31.9954,31.9531,4096,245.5000
