idx,op_id,op_name,dst,src1,src2,imm_hex,used_len,composite,avalanche,balance,period,chisq
0,6,SPLITMIX_STEP,2,0,3,0xD8B243794E6915CA,4,47.9512,31.9971,32.0039,4096,241.0000
1,5,SHR_XOR,5,2,7,0x7D8B633BFC81C9A2,4,47.9512,31.9971,32.0039,4096,241.0000
2,7,ADD_CONST,6,1,2,0xAA7FD251025BED31,4,47.9512,31.9971,32.0039,4096,241.0000
3,6,SPLITMIX_STEP,7,5,6,0x500748CF3115F82A,4,47.9512,31.9971,32.0039,4096,241.0000
