idx,op_id,op_name,dst,src1,src2,imm_hex,used_len,composite,avalanche,balance,period,chisq
0,5,SHR_XOR,1,0,0,0x1ABAA64E323BD74B,4,47.7046,32.0120,31.9648,4096,239.3750
1,6,SPLITMIX_STEP,0,3,6,0x31BC9F5303AF96B0,4,47.7046,32.0120,31.9648,4096,239.3750
2,6,SPLITMIX_STEP,1,1,0,0xE219D6C54BAAAA76,4,47.7046,32.0120,31.9648,4096,239.3750
3,6,SPLITMIX_STEP,7,1,0,0x4F5E78B0CC4B8CCA,4,47.7046,32.0120,31.9648,4096,239.3750
