idx,i,j,size,depth,correctness
0,4,7,23,9,1.000000
1,1,2,23,9,1.000000
2,1,3,23,9,1.000000
3,0,5,23,9,1.000000
4,4,6,23,9,1.000000
5,3,7,23,9,1.000000
6,1,4,23,9,1.000000
7,2,5,23,9,1.000000
8,0,2,23,9,1.000000
9,3,4,23,9,1.000000
10,5,6,23,9,1.000000
11,0,1,23,9,1.000000
12,2,5,23,9,1.000000
13,1,4,23,9,1.000000
14,5,7,23,9,1.000000
15,2,3,23,9,1.000000
16,1,3,23,9,1.000000
17,3,5,23,9,1.000000
18,4,6,23,9,1.000000
19,3,4,23,9,1.000000
20,4,5,23,9,1.000000
21,6,7,23,9,1.000000
22,1,2,23,9,1.000000
