idx,i,j,size,depth,correctness
0,1,7,23,10,1.000000
1,2,5,23,10,1.000000
2,4,5,23,10,1.000000
3,3,7,23,10,1.000000
4,3,5,23,10,1.000000
5,2,6,23,10,1.000000
6,1,4,23,10,1.000000
7,2,3,23,10,1.000000
8,0,6,23,10,1.000000
9,1,2,23,10,1.000000
10,0,2,23,10,1.000000
11,3,4,23,10,1.000000
12,5,6,23,10,1.000000
13,6,7,23,10,1.000000
14,5,6,23,10,1.000000
15,2,3,23,10,1.000000
16,4,5,23,10,1.000000
17,3,4,23,10,1.000000
18,0,1,23,10,1.000000
19,1,2,23,10,1.000000
20,4,5,23,10,1.000000
21,2,3,23,10,1.000000
22,5,6,23,10,1.000000
