idx,i,j,size,depth,correctness
0,0,3,23,11,1.000000
1,4,5,23,11,1.000000
2,3,5,23,11,1.000000
3,3,7,23,11,1.000000
4,1,2,23,11,1.000000
5,2,4,23,11,1.000000
6,0,1,23,11,1.000000
7,4,7,23,11,1.000000
8,5,7,23,11,1.000000
9,1,5,23,11,1.000000
10,2,6,23,11,1.000000
11,2,3,23,11,1.000000
12,0,2,23,11,1.000000
13,3,6,23,11,1.000000
14,1,3,23,11,1.000000
15,4,6,23,11,1.000000
16,5,6,23,11,1.000000
17,3,5,23,11,1.000000
18,1,2,23,11,1.000000
19,4,5,23,11,1.000000
20,2,4,23,11,1.000000
21,6,7,23,11,1.000000
22,3,4,23,11,1.000000
