idx,i,j,size,depth,correctness
0,1,3,24,10,1.000000
1,4,7,24,10,1.000000
2,0,3,24,10,1.000000
3,1,6,24,10,1.000000
4,2,6,24,10,1.000000
5,3,7,24,10,1.000000
6,1,4,24,10,1.000000
7,0,2,24,10,1.000000
8,2,5,24,10,1.000000
9,0,2,24,10,1.000000
10,1,5,24,10,1.000000
11,6,7,24,10,1.000000
12,3,6,24,10,1.000000
13,3,4,24,10,1.000000
14,2,4,24,10,1.000000
15,3,5,24,10,1.000000
16,0,3,24,10,1.000000
17,5,7,24,10,1.000000
18,4,6,24,10,1.000000
19,0,1,24,10,1.000000
20,4,5,24,10,1.000000
21,2,3,24,10,1.000000
22,1,2,24,10,1.000000
23,5,6,24,10,1.000000
