idx,i,j,size,depth,correctness
0,2,3,23,8,1.000000
1,1,7,23,8,1.000000
2,0,5,23,8,1.000000
3,4,7,23,8,1.000000
4,3,5,23,8,1.000000
5,0,1,23,8,1.000000
6,4,5,23,8,1.000000
7,2,6,23,8,1.000000
8,6,7,23,8,1.000000
9,0,2,23,8,1.000000
10,1,3,23,8,1.000000
11,2,6,23,8,1.000000
12,5,7,23,8,1.000000
13,3,4,23,8,1.000000
14,2,4,23,8,1.000000
15,4,5,23,8,1.000000
16,1,3,23,8,1.000000
17,3,6,23,8,1.000000
18,4,6,23,8,1.000000
19,5,6,23,8,1.000000
20,1,2,23,8,1.000000
21,2,3,23,8,1.000000
22,0,1,23,8,1.000000
