idx,i,j,size,depth,correctness
0,1,2,22,10,1.000000
1,4,6,22,10,1.000000
2,6,7,22,10,1.000000
3,0,5,22,10,1.000000
4,5,7,22,10,1.000000
5,1,3,22,10,1.000000
6,1,6,22,10,1.000000
7,0,3,22,10,1.000000
8,2,7,22,10,1.000000
9,0,4,22,10,1.000000
10,0,1,22,10,1.000000
11,2,4,22,10,1.000000
12,5,6,22,10,1.000000
13,3,7,22,10,1.000000
14,4,6,22,10,1.000000
15,2,5,22,10,1.000000
16,1,2,22,10,1.000000
17,3,5,22,10,1.000000
18,3,4,22,10,1.000000
19,4,5,22,10,1.000000
20,2,3,22,10,1.000000
21,5,6,22,10,1.000000
