idx,i,j,size,depth,correctness
0,2,7,23,10,1.000000
1,1,6,23,10,1.000000
2,1,5,23,10,1.000000
3,3,4,23,10,1.000000
4,1,2,23,10,1.000000
5,5,7,23,10,1.000000
6,0,4,23,10,1.000000
7,4,7,23,10,1.000000
8,3,6,23,10,1.000000
9,4,6,23,10,1.000000
10,2,3,23,10,1.000000
11,0,5,23,10,1.000000
12,1,2,23,10,1.000000
13,4,5,23,10,1.000000
14,0,2,23,10,1.000000
15,2,3,23,10,1.000000
16,5,6,23,10,1.000000
17,6,7,23,10,1.000000
18,3,4,23,10,1.000000
19,4,6,23,10,1.000000
20,4,5,23,10,1.000000
21,0,1,23,10,1.000000
22,2,3,23,10,1.000000
