idx,i,j,size,depth,correctness
0,2,6,23,9,1.000000
1,1,5,23,9,1.000000
2,0,7,23,9,1.000000
3,1,2,23,9,1.000000
4,3,7,23,9,1.000000
5,0,1,23,9,1.000000
6,2,7,23,9,1.000000
7,2,3,23,9,1.000000
8,5,6,23,9,1.000000
9,1,4,23,9,1.000000
10,1,3,23,9,1.000000
11,4,6,23,9,1.000000
12,5,7,23,9,1.000000
13,6,7,23,9,1.000000
14,1,2,23,9,1.000000
15,4,5,23,9,1.000000
16,2,5,23,9,1.000000
17,3,4,23,9,1.000000
18,4,5,23,9,1.000000
19,2,3,23,9,1.000000
20,5,6,23,9,1.000000
21,0,1,23,9,1.000000
22,1,2,23,9,1.000000
