idx,i,j,size,depth,correctness
0,0,6,23,9,1.000000
1,0,2,23,9,1.000000
2,3,7,23,9,1.000000
3,5,6,23,9,1.000000
4,1,4,23,9,1.000000
5,2,3,23,9,1.000000
6,3,6,23,9,1.000000
7,1,7,23,9,1.000000
8,6,7,23,9,1.000000
9,4,5,23,9,1.000000
10,0,4,23,9,1.000000
11,3,6,23,9,1.000000
12,3,5,23,9,1.000000
13,2,4,23,9,1.000000
14,0,1,23,9,1.000000
15,1,2,23,9,1.000000
16,5,6,23,9,1.000000
17,2,4,23,9,1.000000
18,3,4,23,9,1.000000
19,0,1,23,9,1.000000
20,6,7,23,9,1.000000
21,4,5,23,9,1.000000
22,2,3,23,9,1.000000
