idx,op_id,op_name,dst,src1,src2,used_len
0,11,TEMP_DECAY,1,3,3,11
1,12,NOP,2,0,0,11
2,4,EVAL_CUR,2,0,0,11
3,3,CROSS_BEST_CUR,1,1,0,11
4,4,EVAL_CUR,2,2,0,11
5,11,TEMP_DECAY,2,0,3,11
6,9,REG_XOR,3,3,3,11
7,8,RAND_REG,0,3,3,11
8,6,ACCEPT_SA,1,0,1,11
9,8,RAND_REG,2,2,0,11
10,0,INIT_CUR,2,2,3,11
