idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,5,SHR_XOR,2,0,2,0x3FDD187DA4865F8A,7
1,4,SHL_XOR,5,2,7,0x2DD4959029C6236D,7
2,4,SHL_XOR,7,5,3,0x3A7C7E4832A849F3,7
3,4,SHL_XOR,5,7,6,0x0460631B51B927E6,7
4,5,SHR_XOR,6,5,1,0x1333D328EFFA8072,7
5,4,SHL_XOR,4,6,1,0xCA2E1085E044B874,7
6,14,ADD_ROT,7,5,4,0xDAC9746BC1E2F6A9,7
