idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,11,ROTR,7,0,6,0xDEF4AC11656490B9,7
1,0,XOR,0,7,0,0xA38C9D2381C22635,7
2,5,SHR_XOR,2,0,6,0xE0C369CB0FD26CAC,7
3,5,SHR_XOR,5,2,0,0x364EDDB7F4DB42BC,7
4,3,ROTL,4,5,5,0x3C1A43A10227E5E0,7
5,1,ADD,5,4,5,0x3D9F50E965B00B49,7
6,4,SHL_XOR,7,5,7,0xBEABA21A66600709,7
