generation,best_composite,best_avalanche,best_balance,best_period,best_chisq,best_used,mean_composite
1,-262.853594,0.7715,32.0547,1024,284.5000,128,-300.198864
2,-262.109375,0.8438,31.8906,1024,244.0000,128,-268.735782
3,-262.109375,0.8438,31.8906,1024,244.0000,128,-263.830239
4,-262.070313,0.8438,31.8984,1024,244.0000,128,-263.824607
5,-261.523438,0.8750,31.9453,1024,244.0000,102,-263.506493
6,-261.523438,0.8750,31.9453,1024,244.0000,102,-262.837668
7,-261.523438,0.8750,31.9453,1024,244.0000,102,-262.264099
8,-261.210938,0.8906,31.9766,1024,244.0000,102,-261.998339
9,-261.210938,0.8906,31.9766,1024,244.0000,102,-261.814966
10,-261.210938,0.8906,31.9766,1024,244.0000,102,-261.829194
11,-261.210938,0.8906,31.9766,1024,244.0000,102,-262.091650
12,-261.210938,0.8906,31.9766,1024,244.0000,102,-261.604004
13,-261.157578,0.9014,31.9688,1024,256.5000,103,-261.517721
14,-261.157578,0.9014,31.9688,1024,256.5000,103,-261.794807
15,-261.040391,0.9014,31.9922,1024,256.5000,102,-261.532468
16,-261.040391,0.9014,31.9922,1024,256.5000,102,-261.680887
17,-261.040391,0.9014,31.9922,1024,256.5000,102,-261.593475
18,-261.040391,0.9014,31.9922,1024,256.5000,102,-261.402731
19,-261.040391,0.9014,31.9922,1024,256.5000,102,-261.700862
20,-261.040391,0.9014,31.9922,1024,256.5000,102,-261.554917
