gen,attempt,train_anchor_mean,holdout_mean,best_so_far,verdict,accepted,mm_evals,chain_extras_len
0,1,47.725342,47.161467,-inf,STRICT_PROGRESS,3,204,1
0,2,47.685923,21.333396,-inf,STRICT_PROGRESS,2,196,1
0,3,47.749756,47.161467,-inf,STRICT_PROGRESS,1,196,1
0,4,47.740601,47.161467,-inf,STRICT_PROGRESS,1,208,1
0,5,47.564512,47.161467,-inf,STRICT_PROGRESS,2,188,1
0,6,47.730835,7.935767,-inf,STRICT_PROGRESS,0,224,1
0,7,47.763184,7.935767,-inf,STRICT_PROGRESS,2,216,1
0,8,47.688677,21.333396,-inf,STRICT_PROGRESS,1,188,1
0,9,47.705811,21.333396,-inf,STRICT_PROGRESS,2,196,1
0,10,43.542725,47.161467,-inf,STRICT_PROGRESS,0,176,1
0,0,47.725342,47.161467,-inf,ADVANCE + STRICT_PROGRESS,3,204,1
1,1,47.660645,47.161467,47.161467,NO_PROGRESS,1,192,2
1,2,47.746948,-1338.361409,47.161467,NO_PROGRESS,2,196,2
1,3,47.698179,47.161467,47.161467,NO_PROGRESS,1,208,2
1,4,47.772686,7.935767,47.161467,NO_PROGRESS,1,200,2
1,5,47.711914,47.161467,47.161467,NO_PROGRESS,0,196,2
1,6,47.597168,21.333396,47.161467,NO_PROGRESS,2,184,2
1,7,47.696108,47.161467,47.161467,NO_PROGRESS,2,188,2
1,8,32.333848,29.294419,47.161467,NO_PROGRESS,1,200,2
1,9,47.173970,-34.877173,47.161467,NO_PROGRESS,1,196,2
1,10,47.776001,-3.697852,47.161467,NO_PROGRESS,2,204,2
1,0,47.660645,47.161467,47.161467,SOFT_HALT(retries_exhausted_but_continuing),1,192,2
2,1,47.626719,47.161467,47.161467,NO_PROGRESS,1,180,2
2,2,47.632568,-2684.092822,47.161467,NO_PROGRESS,1,196,2
2,3,47.379883,47.161467,47.161467,NO_PROGRESS,1,180,2
2,4,43.542725,47.161467,47.161467,NO_PROGRESS,0,176,2
2,5,47.658813,47.161467,47.161467,NO_PROGRESS,3,200,2
2,6,46.248901,46.522920,47.161467,NO_PROGRESS,3,192,2
2,7,47.553833,47.161467,47.161467,NO_PROGRESS,4,204,2
2,8,47.638672,-23.710996,47.161467,NO_PROGRESS,0,192,2
2,9,43.542725,47.161467,47.161467,NO_PROGRESS,1,184,2
2,10,47.635020,47.161467,47.161467,NO_PROGRESS,2,196,2
2,0,47.626719,47.161467,47.161467,SOFT_HALT(retries_exhausted_but_continuing),1,180,2
3,1,46.386816,-34.877173,47.161467,NO_PROGRESS,0,204,2
3,2,47.733311,7.935767,47.161467,NO_PROGRESS,1,184,2
3,3,32.333848,29.294419,47.161467,NO_PROGRESS,0,176,2
3,4,47.640503,21.333396,47.161467,NO_PROGRESS,2,188,2
3,5,45.576294,47.161467,47.161467,NO_PROGRESS,1,188,2
3,6,47.697266,13.599531,47.161467,NO_PROGRESS,1,196,2
3,7,47.683237,17.910073,47.161467,NO_PROGRESS,2,196,2
3,8,47.635532,-25.700315,47.161467,NO_PROGRESS,4,208,2
3,9,47.764468,7.935767,47.161467,NO_PROGRESS,2,188,2
3,10,47.648438,21.333396,47.161467,NO_PROGRESS,1,196,2
3,0,45.576294,47.161467,47.161467,SOFT_HALT(retries_exhausted_but_continuing),1,188,2
4,1,47.753481,47.161467,47.161467,NO_PROGRESS,1,192,2
4,2,47.708374,-49.705288,47.161467,NO_PROGRESS,0,184,2
4,3,47.728394,7.935767,47.161467,NO_PROGRESS,0,204,2
4,4,47.693125,24.855701,47.161467,NO_PROGRESS,2,192,2
4,5,47.813550,7.935767,47.161467,NO_PROGRESS,2,204,2
4,6,47.779663,7.935767,47.161467,NO_PROGRESS,0,188,2
4,7,47.637451,47.161467,47.161467,NO_PROGRESS,0,204,2
4,8,47.619648,47.161467,47.161467,NO_PROGRESS,4,200,2
4,9,47.647969,47.161467,47.161467,NO_PROGRESS,2,192,2
4,10,47.745483,21.333396,47.161467,NO_PROGRESS,1,204,2
4,0,47.753481,47.161467,47.161467,SOFT_HALT(retries_exhausted_but_continuing),1,192,2
5,1,47.766235,-1320.521934,47.161467,NO_PROGRESS,1,208,2
5,2,47.829834,-49.705288,47.161467,NO_PROGRESS,4,200,2
5,3,47.760132,21.333396,47.161467,NO_PROGRESS,1,200,2
5,4,47.733311,7.935767,47.161467,NO_PROGRESS,0,184,2
5,5,47.813726,47.161467,47.161467,NO_PROGRESS,1,208,2
5,6,43.542725,47.161467,47.161467,NO_PROGRESS,0,176,2
5,7,47.781494,46.522920,47.161467,NO_PROGRESS,2,200,2
5,8,47.781494,21.333396,47.161467,NO_PROGRESS,1,188,2
5,9,43.542725,47.161467,47.161467,NO_PROGRESS,0,176,2
5,10,47.757690,47.161467,47.161467,NO_PROGRESS,1,196,2
5,0,47.813726,47.161467,47.161467,SOFT_HALT(retries_exhausted_but_continuing),1,208,2
