idx,op_id,op_name,dst,src1,src2,used_len
0,6,ACCEPT_SA,2,0,2,8
1,2,MUTATE_BEST_TO_CUR,2,1,0,8
2,2,MUTATE_BEST_TO_CUR,2,2,2,8
3,8,RAND_REG,3,1,3,8
4,12,NOP,2,1,3,8
5,12,NOP,0,3,3,8
6,4,EVAL_CUR,1,1,0,8
7,9,REG_XOR,1,2,0,8
