idx,kind,i,j,size
0,0,1,5,22
1,0,0,3,22
2,0,3,5,22
3,0,2,6,22
4,0,4,7,22
5,0,5,7,22
6,0,3,4,22
7,0,6,7,22
8,0,4,5,22
9,0,0,1,22
10,0,5,6,22
11,0,1,2,22
12,0,0,4,22
13,0,1,4,22
14,0,2,5,22
15,0,0,3,22
16,0,2,3,22
17,0,4,5,22
18,0,0,1,22
19,0,1,2,22
20,0,3,4,22
21,0,5,6,22
