idx,kind,i,j,size
0,0,5,6,16
1,0,1,4,16
2,1,0,0,16
3,0,1,2,16
4,0,6,7,16
5,0,4,5,16
6,0,5,6,16
7,0,0,3,16
8,0,4,7,16
9,0,0,1,16
10,0,0,3,16
11,0,5,6,16
12,0,2,4,16
13,0,4,6,16
14,0,1,3,16
15,0,0,7,16
