gen,attempt,train_anchor_mean,holdout_mean,best_so_far,verdict,accepted,mm_evals,chain_extras_len
0,1,28.409687,10.527092,-inf,STRICT_PROGRESS,2,188,0
0,2,45.318823,22.623821,-inf,STRICT_PROGRESS,1,196,0
0,3,-132.961646,45.134973,-inf,STRICT_PROGRESS,1,188,0
0,4,-106.028516,-1341.980242,-inf,STRICT_PROGRESS,1,176,0
0,5,43.798950,-1313.479590,-inf,STRICT_PROGRESS,1,180,0
0,6,10.290239,41.730554,-inf,STRICT_PROGRESS,2,188,0
0,7,45.782334,33.729038,-inf,STRICT_PROGRESS,0,172,0
0,8,41.544375,-63.739434,-inf,STRICT_PROGRESS,0,184,0
0,9,46.602085,39.099099,-inf,STRICT_PROGRESS,2,200,0
0,10,47.224487,-1411.567219,-inf,STRICT_PROGRESS,3,204,0
0,0,-132.961646,45.134973,-inf,ADVANCE + STRICT_PROGRESS,1,188,0
1,1,47.650269,-79.697937,45.134973,NO_PROGRESS,1,172,1
1,2,47.744531,45.134973,45.134973,NO_PROGRESS,2,188,1
1,3,47.779609,-26.379612,45.134973,NO_PROGRESS,3,208,1
1,4,47.563232,-44.549258,45.134973,NO_PROGRESS,1,176,1
1,5,47.748525,45.134973,45.134973,NO_PROGRESS,1,184,1
1,6,47.735659,3.222607,45.134973,NO_PROGRESS,1,172,1
1,7,44.224121,41.730554,45.134973,NO_PROGRESS,1,204,1
1,8,44.002441,44.833081,45.134973,NO_PROGRESS,1,176,1
1,9,42.234189,-63.739434,45.134973,NO_PROGRESS,0,184,1
1,10,47.670410,45.134973,45.134973,NO_PROGRESS,0,184,1
1,0,47.744531,45.134973,45.134973,SOFT_HALT(retries_exhausted_but_continuing),2,188,1
2,1,47.603398,37.664800,45.134973,NO_PROGRESS,0,180,1
2,2,47.534302,47.356118,45.134973,STRICT_PROGRESS,1,184,1
2,3,30.906704,-26.379612,45.134973,NO_PROGRESS,0,180,1
2,4,46.007642,-15.995771,45.134973,NO_PROGRESS,2,180,1
2,5,47.540078,3.222607,45.134973,NO_PROGRESS,2,180,1
2,6,46.735376,-1359.866421,45.134973,NO_PROGRESS,2,200,1
2,7,47.652100,3.222607,45.134973,NO_PROGRESS,2,188,1
2,8,47.588623,-1390.412231,45.134973,NO_PROGRESS,0,184,1
2,9,-13.481177,-79.697937,45.134973,NO_PROGRESS,0,180,1
2,10,47.764321,45.134973,45.134973,NO_PROGRESS,0,188,1
2,0,47.534302,47.356118,45.134973,ADVANCE + STRICT_PROGRESS,1,184,1
3,1,46.386816,-34.877173,47.356118,NO_PROGRESS,0,192,2
3,2,47.773560,-54.732266,47.356118,NO_PROGRESS,0,184,2
3,3,-8.910210,32.110649,47.356118,NO_PROGRESS,0,168,2
3,4,47.639312,-47.406140,47.356118,NO_PROGRESS,0,196,2
3,5,47.440752,47.356118,47.356118,NO_PROGRESS,0,168,2
3,6,47.815918,25.767893,47.356118,NO_PROGRESS,2,184,2
3,7,47.440752,47.356118,47.356118,NO_PROGRESS,0,172,2
3,8,47.563262,-47.406140,47.356118,NO_PROGRESS,2,196,2
3,9,47.796143,47.356118,47.356118,NO_PROGRESS,1,184,2
3,10,47.711914,45.134973,47.356118,NO_PROGRESS,1,184,2
3,0,47.440752,47.356118,47.356118,SOFT_HALT(retries_exhausted_but_continuing),0,168,2
