idx,kind,i,j,size
0,0,1,4,16
1,0,1,2,16
2,0,6,7,16
3,0,3,5,16
4,0,3,6,16
5,0,5,7,16
6,0,4,6,16
7,0,2,3,16
8,0,1,7,16
9,0,1,2,16
10,0,3,6,16
11,0,0,6,16
12,0,5,7,16
13,0,2,4,16
14,0,3,7,16
15,1,0,0,16
