idx,kind,i,j,size
0,0,4,7,16
1,0,0,6,16
2,0,3,5,16
3,0,1,2,16
4,0,3,6,16
5,0,0,1,16
6,0,2,7,16
7,1,0,0,16
8,0,1,2,16
9,0,4,7,16
10,0,4,5,16
11,0,0,3,16
12,0,3,7,16
13,0,1,2,16
14,0,1,2,16
15,0,3,7,16
