idx,kind,i,j,size
0,0,1,3,16
1,0,4,5,16
2,0,1,4,16
3,0,2,7,16
4,0,5,7,16
5,0,0,6,16
6,0,0,6,16
7,0,2,3,16
8,0,0,4,16
9,1,0,0,16
10,0,2,3,16
11,0,0,4,16
12,0,6,7,16
13,0,1,3,16
14,0,2,7,16
15,0,4,5,16
