gen,score,prev_score,depth,prev_depth,size,correctness,base_norm_edit,extras_max_sim,verdict
0,182.500000,-inf,7,255,21,1.000000,0.833333,0.000000,ADVANCE
1,186.000000,182.500000,6,7,16,1.000000,0.708333,0.095238,ADVANCE + STRICT_DOMINATION
2,186.000000,186.000000,6,6,16,1.000000,0.750000,0.095238,ADVANCE
3,186.000000,186.000000,6,6,16,1.000000,0.708333,0.062500,ADVANCE
4,186.000000,186.000000,6,6,16,1.000000,0.708333,0.142857,ADVANCE
5,186.000000,186.000000,6,6,16,1.000000,0.666667,0.142857,ADVANCE
