idx,kind,i,j,size
0,0,3,7,16
1,0,0,5,16
2,0,1,2,16
3,0,0,4,16
4,0,1,6,16
5,0,3,5,16
6,0,1,2,16
7,0,3,5,16
8,0,0,6,16
9,0,1,5,16
10,0,2,3,16
11,0,4,6,16
12,1,2,0,16
13,0,2,3,16
14,0,5,7,16
15,0,1,6,16
