idx,kind,i,j,size
0,0,3,4,16
1,0,0,7,16
2,0,1,6,16
3,0,2,5,16
4,1,0,0,16
5,0,3,5,16
6,0,1,5,16
7,0,1,2,16
8,0,0,4,16
9,0,6,7,16
10,0,0,6,16
11,0,4,7,16
12,0,3,6,16
13,0,1,5,16
14,0,0,7,16
15,0,3,7,16
