gen,score,prev_score,depth,prev_depth,size,correctness,base_norm_edit,extras_max_sim,verdict
0,177.000000,-inf,11,255,24,1.000000,0.875000,0.000000,ADVANCE
1,186.000000,177.000000,6,11,16,1.000000,0.666667,0.208333,ADVANCE + STRICT_DOMINATION
2,186.000000,186.000000,6,6,16,1.000000,0.666667,0.166667,ADVANCE
3,186.000000,186.000000,6,6,16,1.000000,0.750000,0.208333,ADVANCE
4,186.000000,186.000000,6,6,16,1.000000,0.625000,0.125000,ADVANCE
5,186.000000,186.000000,6,6,16,1.000000,0.708333,0.125000,ADVANCE
