idx,kind,i,j,size
0,0,5,7,16
1,0,1,3,16
2,0,5,6,16
3,0,2,4,16
4,0,1,7,16
5,0,2,3,16
6,0,1,4,16
7,0,3,7,16
8,0,2,5,16
9,0,4,5,16
10,0,1,3,16
11,0,0,2,16
12,1,2,0,16
13,0,2,5,16
14,0,3,4,16
15,0,1,7,16
