idx,kind,i,j,size
0,1,0,0,16
1,0,3,4,16
2,0,1,2,16
3,0,1,4,16
4,0,1,3,16
5,0,6,7,16
6,0,5,6,16
7,0,1,6,16
8,0,0,2,16
9,0,0,4,16
10,0,0,4,16
11,0,3,5,16
12,0,2,7,16
13,0,1,2,16
14,0,0,5,16
15,0,6,7,16
