idx,kind,i,j,size
0,0,4,6,24
1,0,0,2,24
2,0,1,3,24
3,0,3,4,24
4,0,1,7,24
5,0,0,3,24
6,0,6,7,24
7,0,0,6,24
8,0,3,5,24
9,0,2,4,24
10,0,1,2,24
11,0,2,5,24
12,0,4,5,24
13,0,1,3,24
14,0,3,7,24
15,0,5,6,24
16,0,3,5,24
17,0,2,5,24
18,0,0,1,24
19,0,4,7,24
20,0,2,3,24
21,0,1,2,24
22,0,4,5,24
23,0,6,7,24
