gen,train_anchor_mean,holdout_mean,prev_holdout,verdict,accepted,mm_evals,chain_extras_len
0,43.631558,-2774.224663,0.000000,ADVANCE,1,188,0
1,47.288218,-2774.224663,-2774.224663,ADVANCE(tie),0,188,1
2,47.429121,-30.392332,-2774.224663,ADVANCE + STRICT_DOMINATION,1,192,2
3,47.761963,-1384.860652,-30.392332,HALT(holdout_regression),0,192,3
