generation,best_composite,best_avalanche,best_balance,best_period,best_chisq,best_min_pb,best_max_pb,best_bias_pb,best_used,mean_composite
1,-205.968906,0.7031,31.9453,1024,1264.0000,0.000000,0.031250,0.489014,163,-266.768526
2,-201.445313,0.7188,30.8125,1024,245.5000,0.000000,0.031250,0.488770,164,-222.159102
3,-195.996094,0.7031,31.9219,1024,241.0000,0.000000,0.031250,0.489014,163,-210.333815
4,-195.996094,0.7031,31.9219,1024,241.0000,0.000000,0.031250,0.489014,163,-205.346691
5,-195.996094,0.7031,31.9219,1024,241.0000,0.000000,0.031250,0.489014,163,-199.572333
6,-195.644531,0.7031,32.0078,1024,245.5000,0.000000,0.031250,0.489014,164,-197.518616
7,-195.644531,0.7031,32.0078,1024,245.5000,0.000000,0.031250,0.489014,164,-196.799202
8,-195.644531,0.7031,32.0078,1024,245.5000,0.000000,0.031250,0.489014,164,-196.484937
9,-195.644531,0.7031,32.0078,1024,245.5000,0.000000,0.031250,0.489014,164,-196.824924
10,-195.644531,0.7031,32.0078,1024,245.5000,0.000000,0.031250,0.489014,164,-196.266853
11,-195.605469,0.7031,32.0000,1024,245.5000,0.000000,0.031250,0.489014,164,-196.468081
12,-195.605469,0.7031,32.0000,1024,245.5000,0.000000,0.031250,0.489014,164,-196.095483
13,-195.605469,0.7031,32.0000,1024,245.5000,0.000000,0.031250,0.489014,164,-196.499626
14,-195.605469,0.7031,32.0000,1024,245.5000,0.000000,0.031250,0.489014,164,-196.220840
15,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.663716
16,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.014285
17,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.207380
18,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-195.803806
19,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.540494
20,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.124382
21,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.720430
22,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.531104
23,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.583296
24,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.582678
25,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.558412
26,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.150513
27,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.302176
28,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.482021
29,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-195.968323
30,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.220272
31,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.557761
32,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.488184
33,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.278992
34,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.262894
35,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.336431
36,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-195.988220
37,-195.507813,0.7188,32.0000,1024,236.0000,0.000000,0.031250,0.488770,163,-196.112413
38,-195.332031,0.7656,31.9766,1024,236.0000,0.000000,0.031250,0.488037,165,-195.865784
39,-195.332031,0.7656,31.9766,1024,236.0000,0.000000,0.031250,0.488037,165,-196.472915
40,-195.332031,0.7656,31.9766,1024,236.0000,0.000000,0.031250,0.488037,165,-196.158167
41,-195.292969,0.7656,31.9844,1024,236.0000,0.000000,0.031250,0.488037,165,-196.160752
42,-195.292969,0.7656,31.9844,1024,236.0000,0.000000,0.031250,0.488037,165,-195.953933
43,-195.292969,0.7656,31.9844,1024,236.0000,0.000000,0.031250,0.488037,165,-196.039470
44,-195.292969,0.7656,31.9844,1024,236.0000,0.000000,0.031250,0.488037,165,-196.129609
45,-195.253906,0.7656,31.9922,1024,236.0000,0.000000,0.031250,0.488037,166,-196.102083
