sample,cell,anchor_mean,holdout_mean,nearest_seed_norm,mmm_eval_before_accept,mmm_call_count,mm_eval_before_accept,mm_call_count
0,23,41.360630,-48.684673,1.000000,true,0,true,1
1,29,-25065.331416,-48.684673,1.000000,true,1,true,1
2,32,-2800.060132,-1000000.000000,1.000000,true,2,false,1
3,20,-30.653545,-10764.687500,1.000000,true,0,false,0
4,23,-26.141611,-1000000.000000,1.000000,true,0,true,1
5,20,-25156.026294,-1000000.000000,1.000000,true,0,false,1
6,29,-2720.460034,-10764.875000,1.000000,true,1,true,1
7,23,-2722.350195,20.781572,0.909091,true,0,true,1
8,29,46.301113,-10764.875000,1.000000,true,1,true,1
9,23,-82.300508,26.583691,1.000000,true,0,true,0
10,20,41.789673,-1000000.000000,1.000000,true,0,false,0
11,20,-0.973394,-10764.687500,1.000000,true,0,false,0
12,23,-3183.164189,-10764.687500,1.000000,true,0,true,1
13,29,-25086.719878,-10764.687500,1.000000,true,1,true,1
14,29,-2647.550659,-1348.628010,1.000000,true,1,true,0
15,32,-25038.542754,39.575112,1.000000,true,3,false,0
16,35,-24990.734409,-10764.687500,1.000000,true,2,true,2
17,23,-26.141611,-1000000.000000,1.000000,true,0,true,1
18,20,-220.401909,-1000000.000000,1.000000,true,0,false,0
19,23,-26.141611,-1000000.000000,1.000000,true,0,true,1
20,29,-2688.818823,-1000000.000000,1.000000,true,1,true,1
21,35,-2720.934072,-10764.875000,1.000000,true,2,true,1
22,23,-26.141611,-1000000.000000,1.000000,true,0,true,1
23,23,-28.439004,-1000000.000000,1.000000,true,0,true,0
