=== MMMP HOLDOUT HILLCLIMB ===
iters=64 seed=0xDEADBEEFBADF00D0 start=(random) mmm_outer=6 tier1_outer=8 tier0_inner=120 shaped=false constrained=false constrained_meta=false constrained_mm=false wide_meta=false wide_mm=false restart_every=0
iter 0: anchor=-750055.0460 holdout=-1000000.0000 BEST
iter 18/64: anchor=-250.1930 holdout=-233.9609 current=-233.9609 best=-233.9609 
iter 19/64: anchor=-505365.2500 holdout=-225.0147 current=-225.0147 best=-225.0147 ACCEPT BEST
iter 20/64: anchor=-505365.2500 holdout=-225.0147 current=-225.0147 best=-225.0147 
iter 21/64: anchor=-505365.8750 holdout=-1000000.0000 current=-225.0147 best=-225.0147 
iter 22/64: anchor=-502754.0826 holdout=-1000000.0000 current=-225.0147 best=-225.0147 
iter 23/64: anchor=-247.8725 holdout=-1000000.0000 current=-225.0147 best=-225.0147 
iter 24/64: anchor=-752696.9375 holdout=-1000000.0000 current=-225.0147 best=-225.0147 
iter 25/64: anchor=-502730.5861 holdout=-10765.8125 current=-225.0147 best=-225.0147 
iter 26/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-225.0147 best=-225.0147 
iter 27/64: anchor=-505365.2500 holdout=-225.0147 current=-225.0147 best=-225.0147 
iter 28/64: anchor=-505365.2500 holdout=-225.0147 current=-225.0147 best=-225.0147 
iter 29/64: anchor=-505365.2500 holdout=-225.0147 current=-225.0147 best=-225.0147 
iter 30/64: anchor=-237.1683 holdout=-215.8119 current=-215.8119 best=-215.8119 ACCEPT BEST
iter 31/64: anchor=-237.1683 holdout=-215.8119 current=-215.8119 best=-215.8119 
iter 32/64: anchor=-505365.2500 holdout=-225.0147 current=-215.8119 best=-215.8119 
iter 33/64: anchor=-237.1683 holdout=-215.8119 current=-215.8119 best=-215.8119 
iter 34/64: anchor=-5490.7189 holdout=-1000000.0000 current=-215.8119 best=-215.8119 
iter 35/64: anchor=-5490.7189 holdout=-1000000.0000 current=-215.8119 best=-215.8119 
iter 36/64: anchor=-5490.7189 holdout=-1000000.0000 current=-215.8119 best=-215.8119 
iter 37/64: anchor=-5490.7189 holdout=-1000000.0000 current=-215.8119 best=-215.8119 
iter 38/64: anchor=-5490.7189 holdout=-1000000.0000 current=-215.8119 best=-215.8119 
iter 39/64: anchor=-237.1683 holdout=-215.8119 current=-215.8119 best=-215.8119 
iter 40/64: anchor=-237.1683 holdout=-215.8119 current=-215.8119 best=-215.8119 
iter 41/64: anchor=-237.1683 holdout=-215.8119 current=-215.8119 best=-215.8119 
iter 42/64: anchor=-2863.9764 holdout=-1000000.0000 current=-215.8119 best=-215.8119 
iter 43/64: anchor=-250169.6109 holdout=-227.9357 current=-215.8119 best=-215.8119 
iter 44/64: anchor=-2860.8619 holdout=-210.3639 current=-210.3639 best=-210.3639 ACCEPT BEST
iter 45/64: anchor=-231.8640 holdout=-268.9094 current=-210.3639 best=-210.3639 
iter 46/64: anchor=-250169.6109 holdout=-227.9357 current=-210.3639 best=-210.3639 
iter 47/64: anchor=-349.2885 holdout=-268.9094 current=-210.3639 best=-210.3639 
iter 48/64: anchor=-250170.1060 holdout=-1000000.0000 current=-210.3639 best=-210.3639 
iter 49/64: anchor=-2863.5636 holdout=-210.3639 current=-210.3639 best=-210.3639 
iter 50/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-210.3639 best=-210.3639 
iter 51/64: anchor=-237.1683 holdout=-215.8119 current=-210.3639 best=-210.3639 
iter 52/64: anchor=-2860.8619 holdout=-210.3639 current=-210.3639 best=-210.3639 
iter 53/64: anchor=-231.8640 holdout=-268.9094 current=-210.3639 best=-210.3639 
iter 54/64: anchor=-231.8640 holdout=-268.9094 current=-210.3639 best=-210.3639 
iter 55/64: anchor=-250169.6109 holdout=-227.9357 current=-210.3639 best=-210.3639 
iter 56/64: anchor=-2860.8619 holdout=-210.3639 current=-210.3639 best=-210.3639 
iter 57/64: anchor=-2860.8619 holdout=-210.3639 current=-210.3639 best=-210.3639 
iter 58/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-210.3639 best=-210.3639 
iter 59/64: anchor=-1000000.0000 holdout=-1000000.0000 current=-210.3639 best=-210.3639 
iter 60/64: anchor=-250171.7334 holdout=-1000000.0000 current=-210.3639 best=-210.3639 
iter 61/64: anchor=-349.2885 holdout=-268.9094 current=-210.3639 best=-210.3639 
iter 62/64: anchor=-2860.8619 holdout=-210.3639 current=-210.3639 best=-210.3639 
iter 63/64: anchor=-2860.8619 holdout=-210.3639 current=-210.3639 best=-210.3639 
iter 64/64: anchor=-231.8640 holdout=-268.9094 current=-210.3639 best=-210.3639 
BEST_HOLDOUT = -210.3639 iter=44 anchor=-2860.8619
