idx,op_id,op_name,dst,src1,src2,used_len
0,0,INIT_CUR,0,0,0,4
1,4,EVAL_CUR,0,0,0,4
2,5,ACCEPT_IF_BETTER,0,0,0,4
3,3,CROSS_BEST_CUR,0,1,3,4
